,avg abs,sd,max,min,no. pks,sd fma,sd fma 3,no. pt near 0
0,0.00049297,1.0004,0.99868,3,0.013964,0.023321,0.053131,1.1806
1,0.00078694,1.0006,0.99831,3,0.026082,0.043946,0.05935,0.0
2,0.00023674,1.0004,0.99954,2,0.028498,0.033563,0.068329,7.0839
3,0.00069014,1.0015,0.99919,4,0.037978,0.034467,0.02632,16.267
4,0.00046746,1.0006,0.99903,4,0.024111,0.030254,0.049293,2.5535
5,0.00036253,1.0007,0.99935,3,0.034961,0.043713,0.04576,2.1279
6,0.00047227,1.001,0.99936,2,0.025326,0.04674,0.069005,11.91
7,0.00048138,1.0008,0.99943,2,0.021757,0.039459,0.061377,12.549
8,0.00021971,1.0004,0.99975,3,0.016977,0.030264,0.046132,41.829
9,0.00053484,1.0005,0.99858,3,0.024771,0.041636,0.066531,12.2
10,0.0005136,1.0,0.99824,3,0.0446,0.047665,0.038886,0.0
11,0.00077908,1.0009,0.99847,2,0.030099,0.039558,0.043699,2.6143
12,0.00033767,0.99998,0.99886,3,0.027191,0.036963,0.064689,9.5478
13,0.00035729,1.0012,1.0001,2,0.013691,0.02533,0.043684,0.41591
14,0.00046495,1.0003,0.99871,3,0.020584,0.027839,0.073249,1.1619
15,0.00097213,1.0014,0.99864,2,0.034121,0.039849,0.038806,0.0
16,0.00043586,0.99994,0.99854,2,0.021968,0.0368,0.058688,19.964
17,0.00057274,1.0013,0.99941,4,0.043574,0.052482,0.049227,0.0
18,0.00061345,1.0011,0.99907,3,0.020656,0.034673,0.055365,0.0
19,0.00049428,0.9999,0.99845,3,0.032373,0.033637,0.026954,0.0
20,0.0010813,1.0019,0.99873,2,0.03416,0.041553,0.048668,9.76
21,0.00059904,1.0001,0.99829,3,0.024297,0.036193,0.046608,21.96
22,0.00030125,1.0002,0.99913,4,0.018873,0.033876,0.052996,4.8506
23,0.00049342,1.0002,0.99862,4,0.023747,0.032943,0.040261,0.0
24,0.00046191,1.0014,0.99986,4,0.023823,0.031541,0.057253,0.0
25,0.00055589,1.0014,0.99955,2,0.023337,0.027495,0.031073,4.3701
26,0.00068789,1.0014,0.99915,3,0.026099,0.036497,0.069957,2.2182
27,0.00067942,1.0006,0.99846,3,0.021909,0.044297,0.073012,0.0
28,0.0003315,0.99997,0.99893,1,0.031442,0.032463,0.027507,7.2349
29,0.00075231,1.0011,0.99865,3,0.01817,0.033161,0.065657,0.0
30,0.00028907,1.0003,0.99925,2,0.027461,0.045677,0.064502,0.0
31,0.00036079,1.0014,1.0001,5,0.023846,0.030231,0.043736,8.5116
32,0.00046502,1.0006,0.99917,2,0.032883,0.037443,0.05384,3.4622
33,0.00062785,1.0021,1.0002,4,0.029243,0.031798,0.043756,57.715
34,0.00031844,1.0009,0.99995,3,0.032204,0.033305,0.026037,1.1619
35,0.0006009,0.99998,0.99809,3,0.01736,0.038807,0.068952,0.0
