,avg abs,sd,max,min,no. pks,sd fma,sd fma 3,no. pt near 0
0,0.00083508,1.0011,0.99886,1,0.00086404,0.0040531,0.0006757,0.0
1,0.00018579,0.99937,0.99871,3,0.00059283,0.0038443,0.00069002,0.0
2,0.00051048,1.0004,0.9987,3,0.00088012,0.0042596,0.00065716,0.0
3,0.00055163,1.0009,0.99918,4,0.00060969,0.0026618,0.00078248,0.0
4,0.00026794,0.99984,0.99896,2,0.00087792,0.0035343,0.00073345,6.1
5,0.00039894,1.001,0.99958,3,0.0009374,0.0039819,0.0007228,0.0
6,0.00068016,1.001,0.99872,3,0.001133,0.0033951,0.00061884,0.0
7,0.00055514,1.0007,0.99896,2,0.00088563,0.0037356,0.00068935,0.0
8,0.00042956,1.0008,0.99942,2,0.0011945,0.0036313,0.00076904,0.0
9,0.00046667,1.0,0.99839,2,0.00097992,0.0033782,0.00070986,0.0
10,0.00041524,1.0006,0.99939,2,0.00097206,0.0032761,0.00062882,0.0
11,0.0002447,1.0004,0.99968,2,0.00047387,0.0033915,0.00081062,0.0
12,0.00032408,1.001,0.99997,4,0.0009814,0.002874,0.00061327,0.0
13,0.00052474,1.0011,0.99941,2,0.00078362,0.0034888,0.00075114,0.0
14,0.00029128,1.0003,0.99936,4,0.0011722,0.0037096,0.00066562,0.0
15,0.0003625,1.0013,1.0003,1,0.0010491,0.0030511,0.00055199,0.0
16,0.00064115,1.0003,0.99843,2,0.00049201,0.0033837,0.00091534,0.0
17,0.00043431,1.0005,0.99891,4,0.00048108,0.0032346,0.00072891,0.0
18,0.0005182,0.99995,0.99812,3,0.00079204,0.0029775,0.00074251,0.0
19,0.00086602,1.0002,0.99757,2,0.00052741,0.0028248,0.00075195,0.0
20,0.00051886,1.0008,0.99913,2,0.00084411,0.0032203,0.00081003,0.0
21,0.00034027,1.0011,0.99988,2,0.0012259,0.0032689,0.00076029,0.0
22,0.0003551,1.0012,0.99992,2,0.0010478,0.0029413,0.00050418,0.0
23,0.00046105,1.0002,0.99873,4,0.00037433,0.0037971,0.00067332,0.0
24,0.00031895,1.0004,0.9995,3,0.00076104,0.0034029,0.00065578,0.0
25,0.00054541,1.0011,0.99947,1,0.00045542,0.0030697,0.00073063,0.0
26,0.00048716,1.0012,0.99969,3,0.001197,0.0025391,0.00074156,0.0
27,0.0003983,1.0008,0.99951,2,0.00086867,0.0030619,0.00070204,0.0
28,0.00029401,1.0003,0.99922,3,0.00080479,0.002978,0.00068777,0.0
29,0.00036728,1.0004,0.99903,2,0.00097779,0.0027113,0.00061411,0.0
30,0.0003896,1.0004,0.99923,2,0.00073422,0.0029683,0.00086279,0.0
31,0.00044565,1.0006,0.99928,3,0.0010691,0.0032908,0.00068674,0.0
32,0.00041773,1.001,0.99961,4,0.00085979,0.003609,0.00067979,0.0
33,0.00041958,1.0001,0.99861,4,0.00091516,0.0032563,0.0007332,0.0
34,0.00056824,1.0009,0.99894,3,0.00077719,0.0037963,0.00071855,7.32
35,0.00057255,1.0011,0.99931,2,0.00089088,0.0035111,0.00069025,0.0
36,0.0005167,1.0008,0.99901,2,0.00076033,0.0034713,0.00058628,0.0
37,0.00025351,1.0004,0.99951,3,0.00051403,0.0037562,0.00073304,0.0
38,0.00048554,1.0003,0.99882,1,0.00049802,0.0040693,0.00089446,0.0
39,0.00081518,1.0011,0.99857,1,0.00070224,0.0031504,0.00066982,0.0
40,0.00034938,1.0005,0.99925,3,0.00054488,0.0027018,0.00071065,0.0
41,0.00063303,1.0009,0.99875,3,0.0007274,0.0029667,0.00068785,0.0
42,0.00066813,1.0012,0.99931,1,0.00094185,0.0033195,0.00069402,0.0
43,0.00036991,1.0004,0.99922,2,0.00054166,0.002958,0.00078584,0.0
44,0.00047428,1.001,0.99927,3,0.0010328,0.0030786,0.0007264,0.0
45,0.00055529,1.0016,0.99985,3,0.00043436,0.00345,0.00068761,0.0
