,avg abs,sd,max,min,no. pks,sd fma,sd fma 3,no. pt near 0
0,0.00013095,0.99992,0.9995,2,0.0066466,0.084071,0.00075125,0.0
1,0.00044071,1.0,0.99856,2,0.0041553,0.054611,0.00043993,0.0
2,0.001901,1.0056,0.99996,3,0.10407,0.10087,0.0015934,0.0
3,0.00053258,1.0005,0.99873,2,0.055486,0.032345,0.00057593,0.0
4,0.00030004,1.0001,0.99915,2,0.015306,0.041102,0.00044063,0.0
5,0.0024446,1.0071,0.9997,2,0.017418,0.13914,0.0012211,0.0
6,0.0013522,1.0,0.99598,2,0.0065297,0.18459,0.00090688,0.0
7,0.0017445,1.0008,0.99513,2,0.012452,0.14427,0.00095539,0.0
8,0.00091154,0.99975,0.99699,1,0.065341,0.035496,0.00094036,0.0
9,0.00052914,1.0004,0.99881,3,0.0123,0.034002,0.0005766,0.0
10,0.0026593,1.0075,0.99938,3,0.014374,0.19985,0.0013811,3.05
11,0.00052945,1.0003,0.99853,2,0.011324,0.049013,0.00052795,0.0
12,0.00072142,1.0003,0.99815,1,0.0050953,0.15208,0.00067219,0.0
13,0.0010101,1.0026,0.99938,1,0.01634,0.096934,0.00099211,1.83
14,0.00024648,0.9999,0.99906,3,0.0077543,0.16329,0.00075745,0.0
15,0.00016618,1.0002,0.99969,2,0.0018142,0.035717,0.0003607,0.0
16,0.00031446,1.0004,0.99946,2,0.0020649,0.049776,0.00027386,0.0
17,0.0011159,1.0033,0.99979,2,0.0060254,0.16514,0.00061633,0.0
18,0.00059842,1.0003,0.99833,2,0.060887,0.096776,0.0015268,0.0
19,0.00066337,1.0004,0.99838,2,0.011858,0.12824,0.00075272,0.0
20,0.00073063,1.0,0.99783,2,0.032638,0.043169,0.00048226,0.0
21,0.00095501,1.0002,0.99726,3,0.051978,0.031493,0.00081837,0.0
22,0.00072919,1.0001,0.99779,2,0.0243,0.044625,0.00064244,0.0
23,0.0022866,1.0007,0.99347,3,0.020539,0.17757,0.0016073,0.0
24,0.0010034,1.0006,0.99755,1,0.0074529,0.089801,0.00087157,0.0
25,0.00024975,1.0,0.99936,1,0.002276,0.052745,0.00039792,0.0
26,0.000304,1.0003,0.99931,2,0.0058147,0.15637,0.00054662,3.66
27,0.00027979,1.0004,0.99944,2,0.0070353,0.021547,0.00044518,0.0
28,0.00027516,1.0003,0.99942,3,0.0014694,0.036028,0.00030559,0.0
29,0.00039518,1.0009,0.99955,3,0.0047242,0.086638,0.0003147,0.0
30,0.0018544,1.0,0.99436,1,0.02653,0.093919,0.0010788,0.0
31,0.0020112,1.0059,0.99978,3,0.012634,0.16985,0.0010298,0.0
32,0.0026634,1.0,0.99205,3,0.066591,0.11021,0.0015487,0.0
33,0.00029211,1.0007,0.99973,3,0.042076,0.081222,0.00082154,7.32
34,0.00050435,1.0012,0.9997,3,0.0041496,0.043294,0.00045166,0.0
35,0.0037542,1.0115,1.0002,2,0.17512,0.11988,0.0024275,0.0
36,0.00065584,1.0002,0.99811,2,0.027887,0.031727,0.00073692,0.0
37,0.0005812,1.0,0.9982,2,0.0044111,0.050336,0.00052768,0.0
38,0.00098386,0.99992,0.99679,2,0.009525,0.061988,0.0006831,0.0
