,avg abs,sd,max,min,no. pks,sd fma,sd fma 3,no. pt near 0
0,0.040939,1.2008,1.0827,2,0.034925,0.029989,0.063541,0.15378
1,0.18253,1.5078,1.0002,1,0.02982,0.018493,0.037654,0.7625
2,0.073929,1.4067,1.1923,1,0.027704,0.026339,0.050166,2.4265
3,0.082514,1.4186,1.1801,1,0.030951,0.023193,0.055374,3.3527
4,0.039104,1.1149,1.0092,1,0.037747,0.037515,0.067842,43.92
5,0.20726,1.6563,1.0862,1,0.031675,0.030928,0.06852,1.4738
6,0.056038,1.163,1.0,2,0.033369,0.02288,0.055226,1.83
7,0.04045,1.1078,1.0013,2,0.027314,0.024531,0.031777,3.0186
8,0.28565,1.7709,1.018,1,0.032646,0.028869,0.078793,3.5136
9,0.19524,1.5847,1.0543,1,0.041683,0.039998,0.081686,3.1371
10,0.13722,1.4318,1.0548,1,0.053014,0.040111,0.036856,3.5136
11,0.086733,1.3536,1.1066,1,0.028997,0.027866,0.052009,3.3889
12,0.1689,1.4543,1.0092,1,0.039297,0.021589,0.088802,2.899
13,0.13146,1.3572,1.0004,1,0.024584,0.019307,0.045544,10.457
14,0.03536,1.1868,1.0843,2,0.038296,0.030935,0.083434,0.96316
15,0.23969,1.6719,1.0325,1,0.043505,0.034169,0.043983,0.61
16,0.13464,1.3723,1.0002,1,0.027947,0.013424,0.055902,1.7023
17,0.15686,1.5661,1.1254,1,0.051088,0.028806,0.034263,2.3815
18,0.22801,1.732,1.1033,1,0.030442,0.021803,0.094569,1.7311
19,0.24408,1.7758,1.1039,1,0.046938,0.038031,0.059135,2.1596
20,0.087778,1.2368,1.0004,1,0.037661,0.033467,0.066647,21.96
21,0.21655,1.5796,1.0014,1,0.019672,0.017594,0.055126,2.062
22,0.16762,1.4477,1.0012,1,0.038745,0.027733,0.085335,4.7739
23,0.12543,1.3377,1.0072,1,0.023066,0.022429,0.054952,5.4222
24,0.14846,1.5893,1.1679,1,0.047017,0.038311,0.058971,2.1217
25,0.043988,1.1185,1.0025,2,0.030386,0.030047,0.053645,0.0
26,0.045923,1.2192,1.087,2,0.037525,0.021075,0.077333,3.2568
27,0.058913,1.3121,1.1414,2,0.024326,0.018369,0.051525,0.6
28,0.041999,1.1749,1.055,2,0.036592,0.034195,0.046736,4.9348
29,0.036709,1.1525,1.0478,1,0.038538,0.031844,0.035068,6.7569
30,0.2666,1.7146,1.0019,1,0.012824,0.015306,0.053186,2.5835
31,0.16218,1.4309,1.0039,1,0.037785,0.024576,0.073115,0.976
32,0.093187,1.2494,1.0006,1,0.034606,0.028109,0.076078,1.9263
33,0.21579,1.5723,1.0037,1,0.036049,0.021619,0.069067,3.3986
34,0.1883,1.5182,1.0003,1,0.043295,0.035521,0.050993,4.9459
35,0.1074,1.7278,1.4142,1,0.045406,0.025362,0.10384,1.7429
36,0.043912,1.1167,1.0008,2,0.02022,0.014909,0.043414,6.6545
37,0.20057,1.5438,1.0006,1,0.03891,0.031662,0.074456,13.206
38,0.062363,1.1657,1.0013,2,0.037423,0.033162,0.062677,0.0
39,0.25515,1.6968,1.0215,1,0.034493,0.028687,0.054738,1.3682
40,0.021793,1.1158,1.0528,2,0.032222,0.030764,0.056163,39.927
41,0.13247,1.3516,1.0023,1,0.046313,0.024954,0.081572,1.6267
42,0.1111,1.7781,1.4533,1,0.050524,0.03661,0.11312,2.0886
43,0.040112,1.2857,1.1684,2,0.036085,0.032011,0.066621,2.7388
44,0.10074,1.2678,1.0031,1,0.037158,0.028784,0.070441,1.9784
45,0.066781,1.2126,1.0288,2,0.041474,0.025127,0.083946,0.9037
46,0.059983,1.1747,1.0,2,0.02671,0.020542,0.045782,0.0
47,0.12339,1.3431,1.0148,2,0.025667,0.018016,0.06046,0.69714
48,0.17406,1.5443,1.0668,1,0.051759,0.027162,0.09933,1.6763
49,0.062804,1.1815,1.0,2,0.044664,0.02966,0.027371,1.7023
50,0.04531,1.2421,1.1108,2,0.036332,0.033801,0.081448,3.4312
51,0.096173,1.2643,1.0001,1,0.031465,0.024599,0.031558,0.0
52,0.15597,1.4364,1.0001,1,0.04852,0.031206,0.070599,29.28
53,0.2213,1.5932,1.0013,1,0.039413,0.032741,0.086067,5.4222
54,0.13248,1.3595,1.0004,1,0.024821,0.023504,0.061513,1.525
55,0.069337,1.4108,1.2092,1,0.03909,0.027769,0.038312,0.21034
56,0.067563,1.2332,1.0446,2,0.027616,0.015167,0.05903,4.9909
57,0.041904,1.1436,1.0268,2,0.020129,0.015971,0.041708,3.2533
58,0.1248,1.3662,1.0289,1,0.044901,0.036857,0.085639,3.2533
59,0.20522,1.5771,1.0001,2,0.029649,0.023901,0.066467,6.9243
60,0.20993,1.5679,1.0007,1,0.052591,0.049599,0.065312,5.9351
61,0.19737,1.7026,1.149,1,0.02503,0.019079,0.04783,1.9104
62,0.12123,1.3464,1.0,1,0.050692,0.036617,0.034371,9.15
63,0.24558,1.6589,1.0014,1,0.054709,0.02724,0.094529,3.9861
64,0.084347,1.3595,1.1184,2,0.034098,0.032728,0.088375,3.6908
65,0.093468,1.5061,1.2353,1,0.045412,0.031081,0.074318,2.2294
66,0.077102,1.4708,1.2464,2,0.03898,0.027549,0.06457,2.5163
67,0.050493,1.2225,1.0779,2,0.030133,0.020348,0.075078,0.57638
68,0.11271,1.4271,1.1087,1,0.025955,0.022193,0.078018,2.1596
69,0.19799,1.5601,1.0001,1,0.041029,0.035972,0.051863,5.8821
70,0.11734,1.4127,1.0842,1,0.028638,0.02787,0.074323,2.318
71,0.17929,1.6995,1.1914,1,0.031522,0.024812,0.10219,2.024
72,0.1708,1.488,1.0,1,0.041622,0.029396,0.078367,6.9714
73,0.021659,1.1615,1.0981,2,0.031945,0.02588,0.072065,2.2182
74,0.25959,1.7128,1.0245,1,0.03896,0.032363,0.10024,3.3745
75,0.17834,1.5079,1.0001,1,0.056443,0.035561,0.08357,4.7226
76,0.099736,1.5698,1.2802,1,0.048958,0.031022,0.10193,1.9013
77,0.13812,1.4371,1.0572,1,0.020114,0.019836,0.042526,4.0294
78,0.11603,1.3082,1.0028,2,0.050604,0.027357,0.088597,1.1806
79,0.10606,1.3078,1.0,1,0.051894,0.033857,0.071078,0.0
80,0.062128,1.1708,1.0001,2,0.038532,0.035052,0.043964,23.116
81,0.28275,1.7906,1.0369,1,0.031962,0.023829,0.072754,3.7956
82,0.10319,1.3019,1.0,2,0.041335,0.031324,0.041498,18.3
83,0.11216,1.311,1.0001,2,0.033994,0.031396,0.054543,4.8441
84,0.2227,1.6181,1.0002,1,0.046328,0.030406,0.067812,5.2286
85,0.06416,1.1714,1.0004,2,0.032668,0.027668,0.072067,39.927
86,0.14821,1.5708,1.1513,1,0.027977,0.026637,0.076514,3.3452
87,0.10198,1.2704,1.0015,1,0.040275,0.023119,0.080413,6.1859
88,0.23005,1.6744,1.0528,1,0.049556,0.039972,0.10326,0.72475
89,0.19359,1.5685,1.0452,1,0.033222,0.02749,0.062131,1.83
90,0.1125,1.3218,1.0,1,0.037137,0.032462,0.05687,12.2
91,0.052588,1.1412,1.0026,2,0.037068,0.029912,0.081282,0.95065
92,0.18888,1.5334,1.0001,1,0.020549,0.016989,0.045405,6.1
93,0.18169,1.6233,1.1167,1,0.022698,0.014124,0.075994,1.7792
94,0.13127,1.6859,1.3062,1,0.046027,0.040602,0.070073,4.2663
95,0.11175,1.324,1.0,1,0.043213,0.020444,0.07952,0.0
96,0.23312,1.739,1.0977,1,0.046944,0.036576,0.077446,2.6299
97,0.074809,1.2896,1.0777,2,0.029673,0.027113,0.076345,9.2866
98,0.27081,1.7202,1.0068,1,0.039073,0.032911,0.06443,0.7871
99,0.17378,1.4775,1.0003,1,0.05117,0.04478,0.063594,17.156
100,0.061573,1.1632,1.001,2,0.034697,0.032452,0.075735,0.0
101,0.074972,1.5388,1.3195,1,0.026533,0.01894,0.060887,1.8224
102,0.076843,1.3559,1.1351,1,0.019677,0.014687,0.065621,2.6299
103,0.068028,1.2327,1.0431,2,0.048836,0.032133,0.028105,29.28
104,0.19112,1.5478,1.0346,1,0.026207,0.018753,0.058371,5.6308
105,0.15755,1.427,1.0005,1,0.033026,0.020879,0.052471,4.0667
106,0.13114,1.5904,1.2144,1,0.048119,0.02871,0.052809,2.1279
107,0.20407,1.5546,1.0154,1,0.02018,0.013878,0.05165,4.4364
108,0.23966,1.6511,1.0007,1,0.042248,0.03587,0.067158,6.1
109,0.13339,1.3667,1.0129,1,0.025704,0.012872,0.040917,0.69057
110,0.15227,1.481,1.0624,1,0.043564,0.03701,0.063599,5.1
111,0.090006,1.4205,1.1618,1,0.039096,0.034086,0.061723,2.728
112,0.12774,1.3693,1.0254,1,0.03951,0.032046,0.088316,4.575
113,0.070665,1.2016,1.0,2,0.037509,0.03121,0.03139,23.116
114,0.07524,1.3462,1.1301,1,0.040932,0.027459,0.089506,0.6
115,0.098407,1.3132,1.0423,1,0.043649,0.039966,0.073071,7.2845
116,0.19777,1.6985,1.1444,1,0.017211,0.015718,0.063251,2.2995
117,0.029547,1.1943,1.1082,2,0.039464,0.02714,0.089285,0.49796
118,0.13592,1.569,1.1815,1,0.048779,0.043274,0.099649,1.8532
119,0.091808,1.4747,1.209,1,0.035067,0.032,0.084144,2.3019
120,0.2621,1.6961,1.0059,1,0.033249,0.03144,0.07561,3.66
121,0.22394,1.6189,1.024,1,0.042684,0.0252,0.040499,3.3745
122,0.083974,1.2446,1.0,2,0.028902,0.021455,0.030292,9.9125
123,0.060432,1.2199,1.05,2,0.035544,0.030827,0.068699,19.096
124,0.21197,1.5837,1.0212,1,0.033806,0.025979,0.064349,2.5417
125,0.13831,1.4009,1.0283,1,0.033655,0.023749,0.050531,1.7596
126,0.043085,1.1935,1.07,2,0.026994,0.023783,0.061648,7.1415
127,0.18632,1.4959,1.0021,1,0.02804,0.021646,0.050224,0.0
128,0.11962,1.3291,1.0002,2,0.033869,0.03248,0.04472,29.28
129,0.05108,1.139,1.0001,2,0.026176,0.019255,0.053149,2.9411
130,0.077047,1.2064,1.0005,2,0.023322,0.022895,0.052401,3.66
131,0.25341,1.6834,1.0156,1,0.030546,0.019716,0.045558,2.417
132,0.19272,1.5338,1.0215,1,0.044029,0.03486,0.07174,6.2743
133,0.039709,1.1059,1.0003,2,0.03351,0.02198,0.069358,22.523
134,0.2156,1.5838,1.0145,1,0.051118,0.042315,0.063881,2.801
135,0.05346,1.1563,1.0,2,0.032344,0.017104,0.061081,3.3273
136,0.16348,1.452,1.0177,1,0.04583,0.029483,0.092705,3.6
