,avg abs,sd,max,min,no. pks,sd fma,sd fma 3,no. pt near 0
0,0.0016968,0.99999,0.99477,2,0.0082249,0.18082,0.00081583,0.0
1,0.00011483,1.0003,1.0,1,0.0026291,0.030926,0.00025523,0.0
2,0.00031147,1.0,0.99908,1,0.0015946,0.022189,0.00018317,3.2294
3,0.0025138,1.0073,1.0,2,0.097825,0.12741,0.001693,0.0
4,0.00010824,1.0,0.99968,1,0.0024969,0.034554,0.00021711,0.0
5,0.00067856,1.002,1.0,2,0.017086,0.081067,0.00053572,0.0
6,0.00028401,1.0,0.99916,1,0.032512,0.1078,0.00096958,0.0
7,0.00010016,1.0003,1.0,1,0.0043519,0.13708,0.00034154,0.0
8,0.00039952,1.0012,1.0,2,0.0043856,0.15128,0.00033983,0.0
9,0.0010207,1.003,0.99998,2,0.022237,0.069593,0.00058294,0.0
10,0.00029997,1.0009,1.0,2,0.012912,0.16331,0.00096709,0.0
11,0.0040456,1.0016,0.98879,2,0.10139,0.16113,0.0020217,0.0
12,0.00040463,1.0012,0.99997,2,0.0031152,0.029087,0.0002499,0.0
13,0.0014805,1.0044,1.0,2,0.0064063,0.13781,0.00061011,2.6143
14,0.0019418,1.0058,1.0,2,0.081938,0.055234,0.00097743,0.0
15,0.0025104,1.0001,0.99255,2,0.15206,0.089434,0.001676,0.0
16,0.00084485,1.0025,0.99988,2,0.0059523,0.13397,0.00081845,0.0
17,0.00047139,1.0001,0.99862,1,0.0062638,0.092609,0.00049511,0.0
18,0.00020145,1.0,0.9994,1,0.0046152,0.025242,0.00026677,0.0
19,0.00086919,1.0,0.99743,2,0.0063176,0.076129,0.00044339,0.0
20,0.0036821,1.0109,0.99994,2,0.13567,0.12754,0.0021521,0.0
21,0.0014337,1.0,0.99579,2,0.0085626,0.15693,0.00067857,0.0
22,0.0032986,1.0097,1.0,2,0.013118,0.15381,0.0013288,0.0
23,0.00091527,1.0026,0.9997,1,0.0064158,0.17827,0.00056702,0.0
24,0.00090601,1.0025,0.99912,2,0.014126,0.17454,0.00091995,0.0
25,0.00060037,1.0017,0.99984,2,0.018563,0.064402,0.00043604,0.0
26,0.0018625,0.99999,0.99418,2,0.052044,0.16463,0.0016884,0.0
27,0.0011012,1.0,0.99675,2,0.03134,0.078547,0.00091607,0.0
28,8.8341e-05,1.0,0.99974,1,0.00473,0.10046,0.00043255,0.0
29,0.00067426,1.002,1.0,2,0.085806,0.052054,0.0016414,7.0385
30,0.0048806,1.0002,0.98568,2,0.1578,0.11331,0.0025321,0.0
31,0.00016927,1.0005,1.0,1,0.035393,0.017868,0.00034753,6.5357
32,0.0013046,1.0039,1.0,1,0.0079098,0.093351,0.0005795,0.0
33,0.001222,1.0036,0.99995,2,0.0094841,0.19813,0.00093835,0.0
34,7.3441e-05,1.0002,0.99992,2,0.083233,0.07305,0.00062555,0.0
35,0.00043487,1.0012,1.0,1,0.0063284,0.068785,0.00049108,0.0
36,0.0025496,1.0075,1.0,2,0.11283,0.075934,0.0014906,0.0
37,6.0256e-05,1.0001,0.99985,1,0.0022376,0.10085,0.00015846,0.0
38,0.00045485,1.0013,0.99965,2,0.065084,0.03942,0.00087419,0.0
39,0.0028715,1.0084,1.0,2,0.063021,0.16086,0.0017746,0.0
40,0.00085373,1.0,0.99746,1,0.0069774,0.11574,0.00074346,0.0
41,0.0014096,1.0042,0.99997,2,0.087978,0.057861,0.0008986,0.0
42,0.00056352,1.0,0.9984,2,0.004416,0.12659,0.00053002,0.0
43,0.0023747,1.007,1.0,2,0.062162,0.11475,0.0013215,0.0
44,0.004303,1.0128,1.0,2,0.15956,0.11284,0.0024691,0.0
45,0.00086919,1.0002,0.99745,1,0.076366,0.11011,0.0013072,0.0
46,0.00032438,1.0001,0.99909,1,0.0026262,0.052699,0.00022139,0.0
47,0.00045254,1.0001,0.99867,1,0.0059682,0.10251,0.00047936,5.6308
48,0.00028326,1.0,0.99916,1,0.001943,0.074992,0.00018939,0.0
49,0.00016561,1.0,0.99951,1,0.003642,0.137,0.00029455,0.0
50,0.00048822,1.0004,0.99869,1,0.0034542,0.050739,0.00030248,0.0
51,0.00093973,1.0,0.99724,1,0.016408,0.052363,0.00048881,0.0
52,0.00010466,1.0003,1.0,1,0.00099387,0.056131,0.00013735,6.1
53,0.00039211,1.0,0.99885,1,0.0031195,0.056496,0.00034667,0.0
54,0.0032195,1.0005,0.99045,1,0.15482,0.11418,0.0020191,0.0
55,0.00077799,1.0022,1.0,2,0.0055754,0.086522,0.00059988,0.0
56,0.00046822,1.0002,0.99869,1,0.0038408,0.08098,0.00036099,9.15
57,0.0021409,1.0,0.99368,2,0.14627,0.12136,0.0020865,7.8429
58,0.0011173,1.0,0.9967,1,0.05853,0.10778,0.0010372,0.0
59,0.0011858,1.0035,1.0,2,0.0061657,0.16239,0.00058342,0.0
60,0.0004753,1.0,0.99852,2,0.012038,0.098162,0.00074616,0.0
61,0.00054368,1.0011,0.99915,2,0.0056373,0.11336,0.00062757,0.0
62,9.8318e-06,1.0,0.99997,1,0.0028361,0.065966,0.0002798,0.0
63,0.00024797,1.0007,1.0,2,0.0034799,0.022136,0.00025011,0.0
64,0.00081572,1.0,0.99758,2,0.057463,0.078257,0.0012108,0.0
65,0.001173,1.0034,0.99995,1,0.074323,0.088432,0.0011668,0.0
66,0.00024973,1.0007,0.99992,1,0.056011,0.029703,0.00038401,0.0
67,0.0014065,1.0041,1.0,2,0.026142,0.093815,0.0010957,0.0
68,0.00023538,1.0002,0.99937,1,0.026293,0.10448,0.00054824,0.0
69,0.00015172,1.0,0.99955,1,0.048421,0.024522,0.00052893,5.2286
70,0.00044076,1.0012,0.99969,2,0.0044271,0.16889,0.00031139,0.0
71,0.00016041,1.0,0.99954,1,0.036412,0.018369,0.00034596,0.0
72,6.4197e-05,1.0002,1.0,1,0.0023921,0.024155,0.00023588,0.0
73,0.00244,1.0003,0.99287,1,0.12817,0.11447,0.0018151,0.0
74,0.00092381,1.0019,0.99851,2,0.14795,0.10313,0.0020351,0.0
75,0.00087066,1.0026,0.99998,2,0.01537,0.13014,0.0011617,0.0
76,0.001642,1.0048,0.99976,2,0.14725,0.097488,0.0022323,0.0
77,7.1985e-05,1.0002,0.99996,1,0.0012207,0.046993,0.00015371,0.0
78,0.0012314,1.0036,1.0,2,0.010278,0.16838,0.00084104,0.0
79,0.00034087,1.0,0.999,1,0.003877,0.19967,0.00044721,0.0
80,0.0017842,1.0,0.99483,2,0.010116,0.15856,0.00085446,0.0
81,0.0019539,1.0058,1.0,2,0.14358,0.13429,0.0028111,0.0
