,avg abs,sd,max,min,no. pks,sd fma,sd fma 3,no. pt near 0
0,0.090571,0.68262,0.41673,2,0.0070272,0.010801,0.0067178,5.7969
1,0.035477,1.0006,0.89707,2,0.002226,0.0098603,0.0034841,0.63103
2,0.11356,1.0028,0.67144,1,0.0023046,0.011922,0.0067446,8.4964
3,0.11745,0.76198,0.42253,2,0.0043142,0.0063989,0.0061289,5.0442
4,0.2585,0.89255,0.18192,2,0.0062301,0.0055976,0.0048054,18.722
5,0.14342,0.60295,0.18529,2,0.0020493,0.024245,0.0073413,19.481
6,0.21007,0.99872,0.43987,2,0.0029163,0.0089605,0.0079671,4.1696
7,0.15666,0.99803,0.58512,2,0.0063651,0.0039805,0.0041012,1.7429
8,0.029607,1.0035,0.91984,1,0.0019187,0.0090596,0.0018207,0.48158
9,0.10469,0.77378,0.47019,2,0.0027688,0.0073265,0.0052506,3.4019
10,0.032381,0.91705,0.82272,2,0.0029828,0.0087117,0.0028718,0.23312
11,0.032169,0.97383,0.88314,2,0.0023334,0.00866,0.0018098,0.4097
12,0.092516,0.74765,0.47826,2,0.0025075,0.0068823,0.0065648,3.7078
13,0.176,1.0011,0.50502,2,0.0040036,0.014852,0.0065857,2.9114
14,0.23992,0.94533,0.29636,2,0.0045107,0.0074424,0.0053356,8.5297
15,0.25998,0.99837,0.29502,2,0.0036469,0.011125,0.0069487,10.814
16,0.091422,0.99278,0.75128,1,0.0029998,0.0098263,0.0038655,1.066
17,0.099428,0.99926,0.71167,3,0.0020289,0.0064219,0.0053856,1.464
18,0.165,0.96301,0.51767,2,0.0015129,0.0054618,0.0046572,2.7681
19,0.30405,0.98772,0.18621,2,0.0037303,0.013479,0.0081141,20.289
20,0.055948,0.73709,0.57272,3,0.0060222,0.0077288,0.0031906,2.7727
21,0.24788,0.88992,0.20791,2,0.0046047,0.011943,0.0075932,17.156
22,0.25223,1.0016,0.29296,2,0.0058487,0.0028107,0.0050915,43.835
23,0.067891,0.99824,0.80812,3,0.0032695,0.010527,0.0028902,0.0
24,0.15322,1.0025,0.5569,2,0.0032613,0.0084288,0.0052098,15.25
25,0.087097,0.99914,0.76911,2,0.0018108,0.01196,0.0036587,0.20333
26,0.019497,1.0014,0.94415,3,0.0012005,0.0069723,0.0021819,0.7625
27,0.034948,0.9248,0.8233,2,0.0037301,0.0050415,0.002767,0.70385
28,0.1044,0.51133,0.20545,4,0.0077948,0.0079587,0.0051249,17.854
29,0.21033,0.99674,0.4429,2,0.0018994,0.0042954,0.0058955,3.9966
30,0.12584,0.68964,0.32426,2,0.0071481,0.0096282,0.0053512,8.5635
31,0.28548,0.98314,0.23143,2,0.0015988,0.015978,0.0097248,14.833
32,0.17702,0.99971,0.49439,2,0.003719,0.0058653,0.0050712,11.076
33,0.066043,1.003,0.81295,1,0.0022615,0.011702,0.0039957,0.61
34,0.085024,0.74538,0.49815,3,0.0027261,0.010528,0.0059312,3.243
35,0.21693,0.98635,0.41455,2,0.0044194,0.0083807,0.0051287,4.758
36,0.13653,0.82229,0.43268,2,0.0039322,0.0066193,0.0073307,4.6697
37,0.23715,0.8256,0.16128,2,0.0079913,0.0076837,0.0049615,22.744
38,0.17711,0.94757,0.46409,2,0.0019035,0.010507,0.0061852,4.3146
39,0.23688,0.99442,0.36965,2,0.0018753,0.013708,0.0061628,7.6079
40,0.049163,1.0002,0.86934,2,0.00093102,0.0066337,0.0027654,0.49459
41,0.034327,0.94459,0.84491,2,0.00067755,0.005753,0.0027218,1.2534
42,0.062623,0.99909,0.83401,2,0.0008543,0.0067094,0.0023226,0.63837
43,0.11461,1.0011,0.68098,2,0.0025942,0.012678,0.0050058,0.35882
44,0.091558,1.0015,0.73214,2,0.0041108,0.0068598,0.0042867,9.15
45,0.32106,0.99378,0.14596,2,0.0035804,0.011927,0.011759,33.195
46,0.17702,0.69238,0.18221,2,0.0039354,0.014367,0.010205,20.142
47,0.063769,0.97582,0.80086,2,0.0032491,0.0065236,0.0027688,0.14878
48,0.029628,0.99974,0.91248,3,0.0026845,0.0087573,0.0030296,1.2621
49,0.090002,1.0008,0.75724,2,0.0015155,0.0067964,0.0035283,1.771
50,0.2517,0.99885,0.33463,1,0.0046474,0.0070963,0.0063187,9.5963
51,0.18824,0.99806,0.4965,1,0.0022282,0.01354,0.0051957,3.1303
52,0.14506,0.99756,0.6116,2,0.0030698,0.0087942,0.003391,2.0914
53,0.164,0.69108,0.21964,3,0.0058458,0.010105,0.0098682,14.876
54,0.12867,0.99988,0.62582,2,0.0030388,0.0039307,0.0066185,5.4222
55,0.20368,0.97069,0.42645,1,0.0029866,0.013382,0.0082369,4.9459
56,0.099087,0.98802,0.72464,2,0.00060879,0.0063662,0.0042954,1.511
57,0.0369,0.94531,0.83943,2,0.0018859,0.0073102,0.0024868,0.24564
58,0.14442,0.99892,0.59743,1,0.003901,0.0063138,0.0054837,3.1826
59,0.12192,0.95982,0.62776,2,0.00093952,0.0073035,0.0056597,2.1529
60,0.097197,0.89402,0.61775,2,0.0050631,0.0047793,0.0049346,2.6503
61,0.18085,0.96386,0.47607,2,0.0033822,0.0047572,0.0057976,3.3832
62,0.20076,0.99785,0.43303,2,0.0023516,0.009727,0.0099409,10.741
63,0.076986,0.99999,0.77926,2,0.003758,0.011302,0.0040423,0.0
64,0.13773,0.87159,0.4832,2,0.0039138,0.0085142,0.0058457,3.7907
65,0.24236,0.9289,0.2691,2,0.00079611,0.017237,0.0093601,9.7219
