,avg abs,sd,max,min,no. pks,sd fma,sd fma 3,no. pt near 0
0,0.032245,0.96252,0.87079,1,0.028582,0.016989,0.055292,2.5097
1,0.061975,1.0,0.82619,1,0.036383,0.028749,0.036051,8.0677
2,0.19851,0.99965,0.43991,2,0.031115,0.019903,0.053497,2.3238
3,0.26179,0.90904,0.19297,2,0.035007,0.01946,0.025846,11.551
4,0.068648,0.83617,0.63733,2,0.015882,0.013928,0.018663,0.45185
5,0.16531,0.98486,0.54667,2,0.02541,0.020205,0.030214,9.0
6,0.089982,0.98471,0.74344,2,0.019254,0.016906,0.031046,0.53824
7,0.0511,0.99733,0.86266,2,0.032674,0.031315,0.064062,0.18673
8,0.058733,0.76315,0.59165,3,0.017812,0.011331,0.023759,0.44364
9,0.037174,1.0001,0.89261,2,0.031697,0.022886,0.027561,10.008
10,0.032748,1.0001,0.90481,1,0.014726,0.011353,0.032109,7.0085
11,0.32364,0.99436,0.14132,1,0.022979,0.018639,0.043374,34.035
12,0.1263,0.97819,0.6394,2,0.019022,0.015211,0.033906,11.984
13,0.14493,0.94954,0.55324,2,0.022018,0.019979,0.048166,14.537
14,0.22831,0.91911,0.29426,2,0.020996,0.020309,0.042349,9.15
15,0.31636,0.99515,0.16118,1,0.031349,0.029639,0.043481,33.332
16,0.21075,0.99479,0.44022,1,0.017819,0.016223,0.045072,24.4
17,0.17479,0.99954,0.53105,2,0.019173,0.013899,0.057559,0.30756
18,0.1238,0.99989,0.64823,2,0.029681,0.019141,0.041189,0.0
19,0.26351,0.99256,0.29926,2,0.0055407,0.012048,0.03669,17.385
20,0.17576,0.98996,0.52669,2,0.025217,0.020831,0.043003,7.32
21,0.27799,0.9892,0.25817,1,0.022653,0.014899,0.022818,16.757
22,0.20962,0.99551,0.4432,2,0.015576,0.010667,0.027011,2.9756
23,0.24293,0.90472,0.23791,1,0.020193,0.015095,0.02846,9.0193
24,0.18536,0.98799,0.49937,2,0.031894,0.030446,0.041966,1.525
25,0.099547,0.99988,0.71008,2,0.012914,0.011355,0.048239,0.68625
26,0.15743,0.81001,0.36213,2,0.0090579,0.010915,0.024133,7.0385
27,0.071677,0.99997,0.78994,1,0.022041,0.013407,0.051594,0.0
28,0.07667,0.99041,0.78634,2,0.025722,0.024761,0.043566,2.7345
29,0.024254,0.95425,0.88434,2,0.035657,0.030878,0.038922,0.63103
30,0.28716,0.99478,0.2381,2,0.011847,0.011888,0.024051,16.172
31,0.11896,0.9979,0.68441,1,0.028703,0.025638,0.060486,2.1897
32,0.28669,0.99652,0.23777,1,0.010291,0.013748,0.023292,6.3652
33,0.089057,0.58592,0.32494,2,0.026384,0.021981,0.029084,18.53
34,0.10921,0.99956,0.70024,2,0.025712,0.021267,0.044626,4.3485
35,0.1523,1.0002,0.55893,1,0.018038,0.012817,0.055989,16.47
36,0.24043,0.99454,0.36041,2,0.029296,0.021623,0.025622,27.45
37,0.12189,1.0001,0.65825,1,0.033091,0.029479,0.056035,30.5
38,0.2223,0.90047,0.28754,1,0.03178,0.02098,0.032167,8.6756
39,0.18281,0.98812,0.50628,2,0.016889,0.011419,0.021749,2.678
40,0.072918,0.99201,0.79811,2,0.026741,0.021023,0.051243,12.683
41,0.0183,1.0002,0.94648,2,0.023006,0.019915,0.050167,6.6545
42,0.29175,0.99166,0.22487,2,0.036494,0.021082,0.045677,9.0612
43,0.10422,0.98867,0.71192,2,0.031573,0.027732,0.044484,1.8732
44,0.12393,1.0002,0.64651,1,0.023971,0.022936,0.039338,0.0
45,0.13631,0.99987,0.6042,2,0.029159,0.01857,0.053014,18.3
46,0.1422,0.99535,0.62083,2,0.016708,0.0091932,0.031538,4.6647
47,0.10946,0.89344,0.58405,2,0.026935,0.018632,0.049879,3.7907
48,0.2334,0.98949,0.37524,2,0.01743,0.012901,0.025787,12.314
49,0.24321,0.92745,0.2655,2,0.030506,0.015735,0.042876,5.8983
50,0.042944,0.95094,0.82895,2,0.015994,0.012581,0.035076,2.8706
51,0.078483,0.99842,0.79173,2,0.029442,0.022503,0.068043,3.3273
52,0.26954,0.94878,0.22407,2,0.020214,0.015357,0.029541,21.991
53,0.13945,0.89691,0.50603,1,0.026425,0.023203,0.023613,5.502
54,0.30903,0.99506,0.18054,2,0.025239,0.019728,0.020039,44.853
55,0.15733,0.99811,0.58101,2,0.028112,0.017925,0.029094,3.2294
56,0.24876,0.99945,0.32163,2,0.018439,0.014735,0.0382,32.208
57,0.029763,1.0,0.91353,1,0.017962,0.012147,0.044538,0.77872
58,0.066378,0.94072,0.75388,2,0.024452,0.020769,0.05595,1.3071
59,0.14462,0.93992,0.54215,2,0.030355,0.027446,0.048017,7.9769
60,0.10991,0.98939,0.69787,1,0.027525,0.02428,0.063219,1.7023
61,0.15657,0.99977,0.56787,2,0.0097833,0.0093552,0.042529,5.8821
62,0.041587,0.99961,0.88598,2,0.028765,0.024924,0.040658,7.8429
63,0.038148,1.0001,0.89423,2,0.0247,0.018407,0.054147,1.6267
64,0.066467,0.98693,0.80816,2,0.027531,0.026103,0.065132,1.3811
65,0.17029,0.7552,0.2684,2,0.024883,0.022648,0.02613,16.348
66,0.073979,1.0001,0.78393,2,0.021222,0.011963,0.044883,0.39355
67,0.12234,0.98602,0.66064,1,0.036348,0.023107,0.024881,0.305
68,0.29652,0.99851,0.20262,2,0.022229,0.018115,0.042639,19.843
69,0.15044,0.99962,0.56326,2,0.024846,0.016718,0.030157,0.0
70,0.17957,1.0001,0.49605,2,0.0079963,0.0094213,0.047013,1.1883
71,0.049023,0.89961,0.75823,2,0.030768,0.023521,0.032439,9.0211
72,0.082826,0.99353,0.77457,2,0.029927,0.02732,0.043321,3.3785
73,0.048255,0.99166,0.86218,2,0.022314,0.018818,0.03473,0.21786
74,0.06707,0.99983,0.8156,1,0.026424,0.023459,0.050944,2.2182
75,0.20245,0.99913,0.45253,1,0.033347,0.018591,0.054217,1.1437
76,0.23443,0.95497,0.32445,2,0.032335,0.016938,0.039128,0.41591
77,0.073854,0.99048,0.79389,2,0.031186,0.02142,0.06072,0.84138
78,0.12933,0.88219,0.51763,2,0.013238,0.010198,0.024953,0.7625
79,0.14259,0.99895,0.61788,2,0.014061,0.008866,0.035941,0.84138
80,0.081391,0.99998,0.7627,2,0.01505,0.015475,0.048623,0.89268
81,0.17686,0.98438,0.51606,2,0.017971,0.010454,0.029264,5.7187
82,0.034969,0.84503,0.74251,2,0.028159,0.022296,0.022363,0.43059
83,0.21967,0.87437,0.26412,1,0.028929,0.017827,0.015114,18.983
84,0.24644,0.992,0.34457,2,0.029948,0.023947,0.0281,11.549
85,0.23455,0.99966,0.35721,2,0.021267,0.013763,0.032291,4.4364
86,0.26679,0.94919,0.23181,1,0.017307,0.013633,0.027402,9.4745
87,0.20222,0.84489,0.27757,2,0.016367,0.014718,0.028354,11.935
88,0.30719,0.99538,0.18446,2,0.014403,0.012979,0.031847,19.694
89,0.28308,0.93679,0.17242,2,0.024795,0.021435,0.035572,22.367
90,0.08426,0.99997,0.76146,2,0.029484,0.020796,0.060225,1.861
91,0.11297,0.51535,0.18494,2,0.014733,0.013337,0.012527,17.001
92,0.2007,0.99863,0.46262,2,0.021407,0.015101,0.02313,0.16486
93,0.17746,0.95619,0.47585,2,0.018835,0.012413,0.018014,6.3402
94,0.11636,0.63317,0.29474,2,0.012815,0.015673,0.022634,10.731
95,0.12861,0.999,0.65568,2,0.023782,0.022792,0.064441,0.60496
96,0.29861,0.93218,0.12568,1,0.029443,0.020216,0.016169,29.462
97,0.15374,0.94881,0.52907,2,0.023934,0.016982,0.023026,3.3785
98,0.30044,0.99787,0.19763,2,0.021239,0.026158,0.033318,18.51
99,0.18295,0.92117,0.4175,1,0.027229,0.020346,0.019958,0.50483
100,0.0456,0.99938,0.87908,2,0.026612,0.025071,0.040472,4.2641
101,0.15452,0.99681,0.58958,2,0.022058,0.011312,0.031588,1.0765
102,0.085974,1.0003,0.75082,2,0.02883,0.027478,0.070657,4.6814
103,0.1124,0.88056,0.56203,2,0.01806,0.017256,0.048933,1.4939
104,0.048296,0.82388,0.68286,2,0.024326,0.01191,0.046878,1.4595
105,0.27293,0.99789,0.27115,1,0.012275,0.011579,0.026528,7.5724
106,0.16937,0.91001,0.44069,2,0.03336,0.018281,0.025401,11.262
107,0.15928,0.70024,0.2418,2,0.037099,0.020592,0.026496,6.2109
