,avg abs,sd,max,min,no. pks,sd fma,sd fma 3,no. pt near 0
0,1.2266e-16,1,1,11,3.3588e-05,1.3941e-05,7.7431e-05,0.0
1,1.0577e-16,1,1,42,3.3588e-05,1.3941e-05,7.7431e-05,0.0
2,1.1628e-16,1,1,6,3.3588e-05,1.3941e-05,7.7431e-05,0.0
3,1.8829e-16,1,1,9,3.3588e-05,1.3941e-05,7.7431e-05,0.0
4,1.136e-16,1,1,36,3.3588e-05,1.3941e-05,7.7431e-05,0.0
5,1.0309e-16,1,1,5,3.3588e-05,1.3941e-05,7.7431e-05,0.0
6,1.0365e-16,1,1,7,3.3588e-05,1.3941e-05,7.7431e-05,0.0
7,1.417e-16,1,1,22,3.3588e-05,1.3941e-05,7.7431e-05,0.0
8,2.0374e-16,1,1,5,3.3588e-05,1.3941e-05,7.7431e-05,0.0
9,1.0686e-16,1,1,35,3.3588e-05,1.3941e-05,7.7431e-05,0.0
10,1.5939e-16,1,1,26,3.3588e-05,1.3941e-05,7.7431e-05,0.0
11,2.4056e-17,1,1,10,3.3588e-05,1.3941e-05,7.7431e-05,0.0
12,1.3021e-16,1,1,25,3.3588e-05,1.3941e-05,7.7431e-05,0.0
13,4.9495e-17,1,1,2,3.3588e-05,1.3941e-05,7.7431e-05,0.0
14,1.3437e-16,1,1,27,3.3588e-05,1.3941e-05,7.7431e-05,0.0
15,1.1939e-16,1,1,38,3.3588e-05,1.3941e-05,7.7431e-05,0.0
16,1.4467e-16,1,1,5,3.3588e-05,1.3941e-05,7.7431e-05,4.3059
17,1.0586e-16,1,1,34,3.3588e-05,1.3941e-05,7.7431e-05,4.3059
18,1.0168e-16,1,1,41,3.3588e-05,1.3941e-05,7.7431e-05,0.0
19,1.236e-16,1,1,17,3.3588e-05,1.3941e-05,7.7431e-05,0.0
20,9.6524e-17,1,1,5,3.3588e-05,1.3941e-05,7.7431e-05,0.0
21,2.2813e-16,1,1,19,3.3588e-05,1.3941e-05,7.7431e-05,0.0
22,1.1972e-16,1,1,9,3.3588e-05,1.3941e-05,7.7431e-05,0.0
23,1.2691e-16,1,1,8,3.3588e-05,1.3941e-05,7.7431e-05,0.0
24,1.5805e-16,1,1,11,3.3588e-05,1.3941e-05,7.7431e-05,0.0
25,7.8073e-17,1,1,2,3.3588e-05,1.3941e-05,7.7431e-05,0.0
26,5.2237e-16,1,1,7,3.3588e-05,1.3941e-05,7.7431e-05,0.0
27,5.2233e-16,1,1,8,3.3588e-05,1.3941e-05,7.7431e-05,0.0
28,1.0063e-16,1,1,42,3.3588e-05,1.3941e-05,7.7431e-05,0.0
29,1.0309e-16,1,1,21,3.3588e-05,1.3941e-05,7.7431e-05,0.0
30,1.6759e-16,1,1,4,3.3588e-05,1.3941e-05,7.7431e-05,4.3059
31,4.7303e-17,1,1,0,3.3588e-05,1.3941e-05,7.7431e-05,0.0
32,8.9794e-17,1,1,36,3.3588e-05,1.3941e-05,7.7431e-05,0.0
33,1.2523e-16,1,1,42,3.3588e-05,1.3941e-05,7.7431e-05,0.0
34,2.0879e-16,1,1,0,3.3588e-05,1.3941e-05,7.7431e-05,0.0
35,6.6608e-17,1,1,27,3.3588e-05,1.3941e-05,7.7431e-05,4.3059
36,1.2195e-16,1,1,18,3.3588e-05,1.3941e-05,7.7431e-05,0.0
37,8.6735e-17,1,1,26,3.3588e-05,1.3941e-05,7.7431e-05,0.0
38,3.7205e-16,1,1,33,3.3588e-05,1.3941e-05,7.7431e-05,0.0
39,9.2961e-17,1,1,23,3.3588e-05,1.3941e-05,7.7431e-05,0.0
40,1.3336e-16,1,1,20,3.3588e-05,1.3941e-05,7.7431e-05,0.0
41,7.8689e-17,1,1,4,3.3588e-05,1.3941e-05,7.7431e-05,0.0
