,avg abs,sd,max,min,no. pks,sd fma,sd fma 3,no. pt near 0
0,0.34409,0.99161,0.086226,2,0.0043704,0.0048623,0.013068,49.348
1,0.18054,0.58646,0.048925,23,0.0078175,0.023403,0.014339,52.788
2,0.32131,0.91116,0.036037,35,0.010694,0.045236,0.014506,55.823
3,0.32077,0.91663,0.062357,10,0.0059556,0.027914,0.0092912,57.226
4,0.27763,0.8652,0.099609,7,0.0063838,0.015935,0.011724,43.779
5,0.26963,0.99752,0.23958,2,0.0090869,0.014141,0.011035,50.508
6,0.23573,0.76847,0.10126,2,0.012588,0.022775,0.012255,39.107
7,0.28351,0.99473,0.2058,1,0.0042955,0.015074,0.010892,41.48
8,0.33321,0.9869,0.1079,2,0.0080848,0.019822,0.013075,44.443
9,0.21953,0.7001,0.07327,2,0.014862,0.015457,0.0092128,48.636
10,0.32775,1.0021,0.12487,2,0.0071105,0.0090911,0.014275,49.149
11,0.32423,1.0,0.12455,2,0.0070729,0.014652,0.010954,50.194
12,0.31936,0.9122,0.046402,22,0.0034408,0.029872,0.01117,55.193
13,0.25745,0.81061,0.089009,6,0.0030274,0.015842,0.0096037,42.827
14,0.22985,0.7036,0.049738,26,0.010171,0.025825,0.0099134,52.492
15,0.16331,0.53572,0.048093,36,0.0093912,0.028372,0.012333,57.246
16,0.20275,0.9933,0.41092,2,0.0073137,0.026183,0.013371,26.143
17,0.24195,0.7772,0.093962,4,0.0090591,0.012526,0.012672,43.005
18,0.35332,0.97399,0.039033,18,0.0035234,0.041456,0.012798,56.268
19,0.33765,0.96567,0.069437,5,0.0068494,0.027902,0.014397,54.367
20,0.18245,0.62318,0.086169,6,0.0096945,0.028415,0.014931,44.324
21,0.26912,1.0031,0.25006,3,0.0027762,0.018971,0.0082949,55.298
22,0.32253,0.91695,0.045141,29,0.0056312,0.012042,0.011016,53.867
23,0.35365,0.99492,0.074684,4,0.0074996,0.02159,0.0075346,57.385
24,0.22491,1.0065,0.36009,2,0.011593,0.019074,0.012173,44.686
25,0.16988,0.56027,0.059209,28,0.010294,0.028071,0.0084052,54.094
26,0.20203,0.9961,0.41373,2,0.0040579,0.044369,0.013489,42.7
27,0.12461,0.98969,0.6252,4,0.0077677,0.019823,0.013445,25.872
28,0.28691,0.99559,0.20677,1,0.0042666,0.020306,0.00957,39.6
29,0.25949,1.0012,0.27037,1,0.0080987,0.037124,0.011153,43.99
30,0.20621,0.66366,0.072078,8,0.0071691,0.014173,0.01228,49.583
31,0.21176,0.68429,0.076224,3,0.0030592,0.030527,0.010248,47.285
32,0.31515,0.99965,0.13789,2,0.0082854,0.012463,0.012911,47.58
33,0.34825,0.98774,0.070321,1,0.013671,0.019536,0.012047,50.857
34,0.34153,0.99946,0.087187,1,0.0049966,0.01602,0.014066,49.167
35,0.22524,1.0055,0.36434,2,0.0087739,0.017357,0.013732,43.208
36,0.32436,0.9915,0.12953,2,0.0090865,0.019157,0.0092278,40.893
37,0.34137,0.9905,0.092636,1,0.007137,0.02604,0.013846,42.186
38,0.14757,1.0003,0.56817,3,0.0026411,0.02617,0.012313,40.26
39,0.32484,0.95423,0.08627,2,0.0128,0.016904,0.013582,47.345
40,0.35755,1.002,0.058818,4,0.0041626,0.032105,0.011074,49.981
41,0.22768,1.0025,0.34841,2,0.0089344,0.01315,0.0096768,40.883
42,0.26396,0.79495,0.057978,32,0.0095812,0.015407,0.0087339,57.154
43,0.3102,0.92071,0.076384,7,0.0031977,0.019853,0.012146,46.04
44,0.34244,0.96385,0.053208,10,0.010857,0.036832,0.012487,49.986
45,0.35957,0.98802,0.045834,14,0.011956,0.036686,0.015092,53.391
46,0.27364,1.0057,0.23997,1,0.01233,0.030191,0.010144,57.747
47,0.26722,0.83183,0.082538,4,0.010468,0.029514,0.011073,44.856
48,0.18056,0.99672,0.47409,3,0.0059251,0.012703,0.010349,43.684
49,0.35145,0.97382,0.05224,14,0.0097557,0.014242,0.011046,55.632
50,0.32887,0.99632,0.13109,1,0.0099613,0.010508,0.0124,46.219
51,0.2728,0.99594,0.23073,2,0.0055443,0.015566,0.011412,52.953
52,0.35252,0.99055,0.073873,7,0.0058247,0.020158,0.0086219,50.184
53,0.25755,0.79766,0.07168,12,0.01033,0.01677,0.011015,47.58
54,0.24764,0.79291,0.095348,4,0.01609,0.026904,0.012359,41.532
