,avg abs,sd,max,min,no. pks,sd fma,sd fma 3,no. pt near 0
0,0.0031571,1.0006,0.98842,5,0.0060443,0.030262,0.0082123,1.22
1,0.0062442,1.0085,0.98729,4,0.010981,0.040867,0.0055589,7.0385
2,0.0049269,1.0087,0.99314,4,0.0082144,0.036491,0.0086622,6.1
3,0.0055646,1.0087,0.9909,2,0.0044346,0.032135,0.0070806,6.5357
4,0.0062129,1.0089,0.99134,2,0.009939,0.03695,0.0053345,0.0
5,0.0032492,1.0069,0.99409,6,0.011345,0.038619,0.0070358,0.0
6,0.005892,1.0124,0.99508,2,0.010384,0.034595,0.0064575,0.0
7,0.0062942,1.008,0.99083,3,0.0089444,0.032502,0.0068337,0.0
8,0.0076179,1.0148,0.98875,4,0.01134,0.034962,0.0078343,4.9909
9,0.0069323,1.0114,0.98975,4,0.0073499,0.045524,0.0073672,8.1333
10,0.002491,1.0027,0.99434,4,0.011845,0.026738,0.0068201,5.49
11,0.0053685,1.0164,0.99971,4,0.013211,0.031924,0.0072562,0.0
12,0.0076367,1.0108,0.98755,2,0.0055535,0.039546,0.0072464,0.0
13,0.0029711,1.0047,0.99554,3,0.0033695,0.036769,0.0082392,9.9818
14,0.0028634,0.99982,0.99117,3,0.0062014,0.041662,0.0073039,2.6143
15,0.0074281,1.0243,0.99949,4,0.0054531,0.030957,0.0058808,0.0
16,0.0051606,1.0141,0.99673,4,0.0062987,0.029255,0.0081938,0.0
17,0.0050228,1.01,0.9945,3,0.011509,0.02856,0.0071135,10.98
18,0.0084515,1.0172,0.98926,4,0.0077052,0.032135,0.0052568,7.32
19,0.0051765,1.0142,0.99704,3,0.012957,0.025016,0.0061624,0.0
20,0.0055604,1.0127,0.99224,4,0.0065076,0.030739,0.0073783,9.9818
21,0.003922,1.001,0.98861,4,0.011569,0.033946,0.0078986,2.8895
22,0.0041331,1.0094,0.99556,3,0.014662,0.032383,0.0063974,0.0
23,0.0032154,1.0024,0.99089,4,0.004901,0.034084,0.0074729,0.0
24,0.0055789,1.0073,0.99077,4,0.0076688,0.028622,0.0063473,1.7429
25,0.0069763,1.0144,0.99067,4,0.0087026,0.036897,0.0070575,1.0765
26,0.0023718,0.99583,0.98841,4,0.0066136,0.032004,0.0063682,0.915
27,0.0020804,1.0011,0.99402,5,0.0075752,0.033832,0.0072684,1.0167
28,0.0076604,1.0125,0.98703,2,0.0055525,0.051149,0.0075473,4.8158
29,0.003398,1.0048,0.9944,6,0.0076825,0.023988,0.0088884,0.0
30,0.0046214,1.0061,0.9899,3,0.0048347,0.039731,0.005281,7.32
31,0.0048855,1.0042,0.98782,3,0.0052759,0.039422,0.0050841,7.1167
32,0.0046009,1.0082,0.99458,4,0.006502,0.036722,0.0064514,3.3273
33,0.0041478,0.99823,0.98491,3,0.0064717,0.042218,0.0089805,4.1591
34,0.0035288,1.0098,0.99859,3,0.0086451,0.037617,0.0075943,0.0
35,0.002964,1.0079,0.99853,4,0.010209,0.030879,0.0072724,0.0
36,0.0042397,1.0133,1.0002,3,0.0085926,0.03238,0.007197,11.645
37,0.0030372,1.012,1.0024,4,0.0078526,0.03722,0.0072142,0.0
38,0.0032315,0.99619,0.98488,4,0.0098977,0.037472,0.0072107,0.53824
39,0.0081771,1.0091,0.98528,2,0.0091687,0.032378,0.0090584,14.64
40,0.0046629,0.99914,0.98447,6,0.0045181,0.036443,0.0071854,0.83182
41,0.0032908,1.0011,0.99084,2,0.0047133,0.032695,0.0067373,0.0
42,0.0076448,1.0096,0.98517,3,0.0091414,0.029571,0.0070609,0.0
43,0.0038485,1.0032,0.99092,4,0.0064405,0.03902,0.0064239,3.9214
44,0.0044879,1.0025,0.98984,3,0.0089756,0.048133,0.0080965,2.2875
45,0.0051836,1.0064,0.98888,3,0.0096736,0.035684,0.0068066,1.6636
46,0.0026243,1.0045,0.99555,5,0.012492,0.03269,0.007379,1.6636
47,0.005829,0.99884,0.98089,4,0.0070692,0.047611,0.0052905,0.0
48,0.0026448,1.0021,0.99384,4,0.0037968,0.040351,0.0082789,0.915
49,0.0030303,1.012,1.002,4,0.0069887,0.036496,0.0072864,0.0
50,0.0050353,1.0116,0.99385,4,0.0063272,0.028835,0.0068655,5.6308
51,0.0056683,1.0078,0.98813,4,0.014752,0.02937,0.0069793,0.0
52,0.0060941,1.0062,0.98883,4,0.011297,0.031257,0.0063486,4.575
53,0.0069271,1.0102,0.98935,2,0.0045875,0.033835,0.0083774,9.15
54,0.0052346,1.0012,0.98476,2,0.0088766,0.02977,0.0066669,4.3059
55,0.0026354,0.99984,0.99162,3,0.0091811,0.032736,0.0072366,5.49
56,0.0059395,1.0094,0.99003,4,0.0065367,0.033753,0.0059888,2.8895
57,0.0064891,1.0148,0.99161,4,0.0070718,0.036727,0.0081873,0.0
58,0.0080019,1.01,0.98672,1,0.0088911,0.030693,0.0063326,2.44
59,0.0093543,1.0221,0.99269,4,0.010429,0.036817,0.0074276,0.0
60,0.002551,1.0094,1.001,5,0.0032041,0.056204,0.010488,0.0
61,0.0046983,1.0056,0.9891,4,0.0073595,0.028861,0.0060632,8.54
62,0.0040216,1.0015,0.98834,4,0.005226,0.037393,0.0064009,0.0
63,0.0023649,0.99214,0.98531,5,0.009797,0.036033,0.0087039,0.87143
64,0.0032747,1.0031,0.99346,4,0.0049787,0.033492,0.0077554,0.79565
65,0.0055999,0.99885,0.97883,4,0.0067338,0.052794,0.0070809,1.1438
66,0.0072258,1.01,0.98722,2,0.0041955,0.031973,0.0074437,4.1591
67,0.0063477,1.0179,0.99639,4,0.0057451,0.033038,0.0082439,0.0
68,0.0079884,1.0064,0.9845,3,0.0067199,0.034347,0.0076119,8.3182
69,0.0020485,1.0072,1.0007,4,0.0076211,0.031771,0.0076224,3.9214
70,0.0067911,1.0151,0.99202,3,0.0093456,0.041753,0.0071754,0.0
71,0.0065739,1.0154,0.99534,4,0.0034899,0.030461,0.0082591,4.9909
72,0.0042803,1.0091,0.99571,5,0.0051309,0.042393,0.0089468,0.0
73,0.0042875,1.0081,0.99322,4,0.0067766,0.032585,0.0073286,0.0
74,0.0038026,1.0042,0.9911,4,0.0069565,0.040268,0.0075528,7.32
75,0.0052099,1.0105,0.99411,1,0.0094676,0.028237,0.0074634,9.15
76,0.0031791,1.0034,0.99251,5,0.0079422,0.031098,0.0086733,0.0
77,0.0062355,1.0101,0.9903,4,0.0062476,0.040743,0.0075522,7.5353
78,0.0036709,1.0085,0.9964,4,0.0099364,0.035963,0.0056665,1.0167
79,0.0053738,1.0099,0.99457,3,0.0034309,0.027412,0.0073339,14.64
