,avg abs,sd,max,min,no. pks,sd fma,sd fma 3,no. pt near 0
0,0.071718,1.0009,0.80942,1,0.0053206,0.027807,0.0053122,0.51549
1,0.054768,1.0104,0.85117,2,0.0023404,0.017341,0.0059838,0.0
2,0.055778,0.99018,0.84638,2,0.0059767,0.026923,0.0064525,0.0
3,0.14219,0.94003,0.54397,2,0.0072759,0.022809,0.0068733,3.026
4,0.09689,0.98608,0.72745,2,0.0054674,0.022917,0.0075904,1.2303
5,0.2611,0.94149,0.235,2,0.0043491,0.010458,0.0094929,15.277
6,0.085304,1.0019,0.75044,2,0.0020236,0.032786,0.0057669,0.37347
7,0.055384,0.79534,0.62959,2,0.0013388,0.020087,0.0086878,2.082
8,0.062157,1.002,0.82881,2,0.0054688,0.025484,0.0062019,1.9263
9,0.13206,0.99733,0.63173,1,0.0012943,0.019317,0.0083726,1.2621
10,0.19391,0.97846,0.45905,2,0.0096434,0.02477,0.0094751,3.9214
11,0.14882,1.008,0.5755,3,0.013837,0.013409,0.011727,11.183
12,0.17633,0.86687,0.37264,3,0.007558,0.016158,0.0091836,6.405
13,0.21662,0.80698,0.19682,2,0.005519,0.018757,0.014981,18.173
14,0.17295,0.97577,0.51615,2,0.0055256,0.011163,0.0084912,3.8264
15,0.071233,0.99597,0.80742,1,0.0093442,0.027001,0.0070625,0.93846
16,0.13789,1.0024,0.60821,4,0.011022,0.013053,0.0080341,3.66
17,0.20812,1.009,0.4163,2,0.0090368,0.026795,0.0095247,21.268
18,0.27466,0.99652,0.27207,1,0.0075252,0.033082,0.012363,11.06
19,0.18075,1.0042,0.48814,1,0.0027464,0.017046,0.0096933,12.039
20,0.11233,0.79668,0.46968,4,0.0083428,0.015075,0.008919,4.5443
21,0.20882,1.0036,0.44621,1,0.0024808,0.012368,0.0087422,4.0906
22,0.021027,0.95502,0.88987,4,0.006098,0.030852,0.0056294,0.84722
23,0.21164,0.72477,0.11972,4,0.0045207,0.020296,0.0095794,37.736
24,0.08661,0.99727,0.74433,4,0.0028574,0.015574,0.0096954,0.57187
