,avg abs,sd,max,min,no. pks,sd fma,sd fma 3,no. pt near 0
0,0.26839,0.99437,0.25079,1,0.013978,0.046009,0.038386,38.929
1,0.23316,0.98819,0.36181,2,0.020209,0.017636,0.036372,0.16944
2,0.27979,0.99297,0.24091,1,0.022187,0.037261,0.032994,26.465
3,0.068064,0.88887,0.68649,4,0.01418,0.023801,0.042034,1.6423
4,0.18314,0.9959,0.51486,2,0.023786,0.020207,0.053095,1.525
5,0.29564,0.98729,0.20802,1,0.010934,0.021578,0.022774,27.127
6,0.13387,0.98402,0.63119,2,0.028173,0.026319,0.028026,5.5863
7,0.069196,1.003,0.81098,2,0.022436,0.023839,0.060957,0.19677
8,0.25936,0.91241,0.20067,2,0.020897,0.039854,0.02926,20.657
9,0.076281,0.99396,0.79268,4,0.032045,0.028086,0.04505,3.938
10,0.15148,0.98439,0.58521,2,0.018323,0.019452,0.047673,3.697
11,0.15377,1.0098,0.57531,2,0.01458,0.02895,0.036616,3.1826
12,0.18398,0.99952,0.48439,2,0.031009,0.035466,0.056134,7.2619
13,0.17449,0.61461,0.10617,3,0.0086058,0.013486,0.019266,39.509
14,0.11654,0.86517,0.53258,2,0.016991,0.039737,0.032101,3.5882
15,0.082743,0.99939,0.76463,2,0.031926,0.032955,0.06769,0.0
16,0.14386,0.80258,0.39147,2,0.016456,0.018632,0.03141,3.6134
17,0.18264,0.91186,0.40361,2,0.0093247,0.034991,0.039155,5.9123
18,0.08202,0.99425,0.77941,2,0.018977,0.023502,0.03916,1.1806
19,0.09813,0.87233,0.59034,2,0.023326,0.020435,0.03818,1.9815
20,0.061261,0.79346,0.61181,2,0.019766,0.021639,0.042945,0.21916
21,0.26468,0.99968,0.28423,2,0.010302,0.010973,0.025997,7.8673
22,0.10324,0.64974,0.3493,4,0.023621,0.026692,0.026934,10.731
23,0.082539,0.99663,0.78056,2,0.024124,0.021467,0.050491,0.51792
24,0.063377,0.92723,0.74413,2,0.032854,0.0217,0.020921,4.2528
25,0.12141,0.99921,0.64612,2,0.030174,0.027983,0.030479,3.9927
26,0.31622,0.97455,0.1368,1,0.01624,0.042644,0.037196,25.374
27,0.095889,0.98488,0.73167,2,0.021488,0.021938,0.063109,7.7911
28,0.14582,0.66511,0.23851,2,0.018611,0.019905,0.020512,17.33
