,avg abs,sd,max,min,no. pks,sd fma,sd fma 3,no. pt near 0
0,0.0007465,1.0008,0.99863,3,0.0022727,0.11158,0.00064774,0.0
1,0.0028615,1.001,0.99158,3,0.034678,0.16382,0.0022033,0.0
2,0.0004167,1.0007,0.9994,3,0.0046944,0.029157,0.00069637,0.0
3,0.0012155,1.0013,0.99782,2,0.018039,0.14267,0.0015362,0.0
4,0.0013235,1.0011,0.99714,2,0.01274,0.15012,0.0010237,0.0
5,0.003831,1.0105,0.99876,2,0.11654,0.1109,0.0024951,0.0
6,0.00025041,1.0007,0.99974,3,0.0033308,0.095557,0.00079333,0.0
7,0.00051164,1.0016,0.9999,3,0.015422,0.049263,0.0010218,0.0
8,0.00042199,1.0009,0.99933,2,0.0050212,0.098135,0.0012782,0.0
9,0.00049539,1.0005,0.99905,2,0.00084113,0.033288,0.00079638,0.0
10,0.0027226,1.0008,0.99217,2,0.033722,0.1489,0.0020931,0.0
11,0.00038764,0.99962,0.99829,3,0.0031366,0.17872,0.00094028,0.0
12,0.00096449,1.0024,0.99892,3,0.016227,0.14669,0.0011406,0.0
13,0.00070348,1.0009,0.99878,1,0.0050654,0.092236,0.00084822,0.0
14,0.0013656,1.0037,0.9993,1,0.035201,0.14857,0.001314,0.0
15,0.0010832,1.0023,0.99863,3,0.016216,0.1274,0.0015829,0.0
16,0.00029152,1.0008,0.99987,4,0.0047694,0.11559,0.00098819,0.0
17,0.00047224,1.0004,0.99879,4,0.0099188,0.031283,0.00085142,0.0
18,0.00089082,1.0024,0.99929,3,0.020175,0.16496,0.0010746,0.0
19,0.0007541,1.0007,0.99826,3,0.0031215,0.11044,0.00066496,0.0
20,0.0011641,1.0007,0.99662,3,0.016901,0.17628,0.002433,0.0
21,0.0013022,1.0033,0.99928,2,0.0045128,0.15176,0.0011903,0.0
22,0.00046815,0.99963,0.99813,2,0.0085641,0.058373,0.00089835,0.0
23,0.00054686,1.0,0.99833,2,0.0010702,0.026531,0.00062638,0.0
24,0.0015677,1.0004,0.99544,3,0.0097764,0.12941,0.0013013,0.0
25,0.0023572,1.0009,0.99392,1,0.0098046,0.12737,0.0014418,0.0
26,0.0009247,1.0019,0.99877,4,0.073413,0.047864,0.0012263,0.0
27,0.0010411,1.0024,0.99884,3,0.0079862,0.11411,0.0010093,7.625
28,0.0014922,1.0008,0.99621,3,0.011295,0.19736,0.0015659,0.0
29,0.00082242,1.0026,0.99969,4,0.0038622,0.052992,0.00095241,0.0
30,0.0013001,1.0006,0.99627,3,0.11078,0.12072,0.0020552,0.0
31,0.0015517,1.0012,0.99618,3,0.022534,0.09383,0.0011507,0.0
32,0.00049418,1.0009,0.99918,1,0.013581,0.1239,0.00086977,0.0
33,0.0010694,1.0028,0.99966,3,0.0031048,0.032799,0.00087982,0.0
34,0.0029973,1.0089,0.9997,2,0.085953,0.10154,0.0017403,0.0
35,0.00080983,1.0025,0.99987,3,0.066624,0.055032,0.0013283,0.0
