,avg abs,sd,max,min,no. pks,sd fma,sd fma 3,no. pt near 0
0,0.018785,1.033,0.9798,5,0.00049556,0.0015069,0.00050033,0.0
1,0.0065025,1.0095,0.99033,6,0.00018952,0.0013151,0.00028762,0.0
2,0.0085562,1.0261,0.9982,6,0.00087439,0.00092888,0.00036169,0.0
3,0.026678,1.0509,0.9729,3,0.00076975,0.00059681,0.00043966,0.0
4,0.0029689,1.0085,0.99893,8,0.00093761,0.00067887,0.00042105,1.3071
5,0.019442,1.0323,0.97717,6,0.0004025,0.0013087,0.00055981,0.0
6,0.019336,1.0303,0.96994,4,0.00049935,0.00091481,0.00055823,0.0
7,0.0040735,1.0131,0.99806,8,0.00052715,0.0014719,0.00064248,0.0
8,0.016567,1.034,0.98317,3,0.00030957,0.00073032,0.00029366,0.0
9,0.0021931,1.0059,0.99708,8,0.00034375,0.00074738,0.00027644,0.0
10,0.029346,1.044,0.95667,4,0.00022842,0.0007581,0.0003802,0.0
11,0.0056182,1.0178,0.99857,7,0.00057512,0.00093975,0.00044757,0.0
12,0.0018935,1.0042,0.99706,8,0.00018563,0.00093903,0.00030184,0.0
13,0.020307,1.0321,0.96766,4,0.00037718,0.0024447,0.00050528,0.0
14,0.0161,1.045,0.99142,5,0.0013179,0.00079004,0.00039263,7.32
15,0.010721,1.0175,0.9852,6,0.00020135,0.00076224,0.00037738,0.0
16,0.026966,1.0544,0.97348,3,0.00048442,0.0008306,0.00038798,0.0
17,0.013327,1.0365,0.99304,5,0.00054024,0.00043425,0.0004679,0.0
18,0.0018267,1.0055,0.99968,7,0.00052589,0.00039992,0.00036008,0.0
19,0.016531,1.0461,0.9912,5,0.00074407,0.00096731,0.00038924,4.9909
20,0.00077953,1.0015,0.99885,8,0.0003265,0.0011104,0.00040301,1.6636
21,0.0046579,1.0147,0.99832,8,0.00019624,0.0012218,0.00031987,0.0
22,0.0036712,1.007,0.99457,8,0.00051655,0.001157,0.00045679,3.8526
23,0.0016764,1.0044,0.99807,8,0.00024688,0.0010859,0.00024905,0.0
24,0.0064425,1.0154,0.99486,6,0.00031817,0.0010926,0.00060918,0.0
25,0.0185,1.0266,0.97321,4,0.00017563,0.00093646,0.00021369,0.0
26,0.014978,1.0244,0.97958,6,0.0011217,0.0015414,0.00054085,6.6545
27,0.026209,1.0421,0.95821,4,0.00016041,0.00063753,0.00062212,0.0
28,0.01624,1.0238,0.97671,4,0.00024925,0.00088302,0.00023858,0.0
29,0.0094625,1.0201,0.98788,6,0.00038852,0.00090882,0.00039858,0.0
30,0.0090388,1.0234,0.99471,6,0.00087843,0.00053025,0.00045447,0.0
31,0.0060771,1.0182,0.99875,7,0.00077007,0.00060362,0.00045476,0.0
32,0.0041243,1.0086,0.99575,7,0.00047292,0.00095518,0.00032529,0.0
33,0.017118,1.0353,0.98321,3,0.00012674,0.0010235,0.00026811,0.0
34,0.0072912,1.0189,0.99332,6,0.00079806,0.0016623,0.0005196,0.0
35,0.0092634,1.0132,0.98659,6,0.0002891,0.0011363,0.00027158,0.0
36,0.023276,1.0358,0.96531,4,0.00030577,0.00097418,0.00041358,0.0
37,0.019001,1.0374,0.979,4,0.00025987,0.0016006,0.00036812,0.0
38,0.0074035,1.0192,0.99515,5,0.00029563,0.00089536,0.00048491,0.0
39,0.031997,1.0636,0.96523,4,0.00074224,0.0015218,0.00053934,0.0
40,0.012909,1.0214,0.98459,6,0.00056771,0.00091264,0.00035852,0.0
41,0.007279,1.0224,0.99877,7,0.00048424,0.00081776,0.00055215,0.0
42,0.010388,1.0273,0.99415,6,0.00021337,0.0011313,0.00059195,0.0
43,0.0053197,1.0167,0.99647,8,0.0010014,0.001643,0.00055176,3.66
44,0.0078232,1.0239,0.99854,5,0.00053834,0.0010531,0.00034343,0.0
45,0.030337,1.0446,0.95576,4,0.00025886,0.0010285,0.00031061,4.575
46,0.031916,1.0494,0.95127,4,0.00029418,0.00055213,0.00040447,0.0
47,0.032367,1.0518,0.94887,4,0.00046924,0.0021899,0.00065709,0.0
48,0.0095592,1.0263,0.9931,6,0.00033984,0.00091898,0.00028962,0.0
49,0.0091525,1.0286,0.99829,7,0.00059156,0.00058186,0.00048775,0.0
50,0.0053476,1.017,0.99851,8,0.00051878,0.00077926,0.00042936,0.0
