,avg abs,sd,max,min,no. pks,sd fma,sd fma 3,no. pt near 0
0,0.00024169,1.0006,0.99979,1,0.022199,0.034634,0.048986,15.321
1,0.00011109,1.0001,0.99968,3,0.017758,0.030631,0.046809,39.927
2,0.00024549,1.0007,0.99985,3,0.030057,0.04776,0.057581,0.0
3,0.00022342,1.0003,0.99956,2,0.016222,0.032143,0.048346,1.2842
4,0.00023459,1.0005,0.99978,2,0.02828,0.03569,0.050485,0.0
5,8.4636e-05,1.0001,0.99982,3,0.026307,0.034749,0.072604,3.05
6,0.00016469,0.99991,0.99936,2,0.018047,0.03364,0.060439,13.725
7,0.00021564,1.0003,0.99957,2,0.034055,0.043045,0.045084,31.371
8,0.00013928,1.0003,0.99987,2,0.030524,0.038218,0.037232,7.7053
9,0.00011931,1.0002,0.99982,2,0.0181,0.036624,0.073889,0.0
10,0.00022082,1.0006,0.99979,2,0.049178,0.050243,0.030681,12.73
11,6.3075e-05,0.99991,0.99969,2,0.036068,0.038786,0.029878,4.3059
12,0.00016011,1.0001,0.99961,2,0.025998,0.041701,0.055372,1.1619
13,0.00015139,1.0003,0.99979,2,0.041548,0.04434,0.035262,0.0
14,0.00014122,1.0001,0.99971,3,0.018043,0.026477,0.032464,0.0
15,5.809e-05,1.0001,0.99986,3,0.027593,0.034632,0.047472,7.0632
16,0.00013044,1.0003,0.99986,2,0.017878,0.037588,0.059811,0.88193
17,0.00023761,1.0003,0.9996,1,0.030854,0.043654,0.054639,11.262
18,0.00019521,1.0003,0.99969,1,0.023428,0.028983,0.028613,1.2842
19,0.00017774,1.0003,0.99981,3,0.015829,0.0304,0.044438,1.6636
20,0.00014414,1.0005,0.99998,2,0.014848,0.026855,0.060959,0.59512
21,0.00018384,1.0002,0.99953,2,0.03004,0.048363,0.063702,10.214
22,0.00013733,1.0,0.99961,2,0.031739,0.048707,0.065696,11.87
23,0.00021076,1.0003,0.99975,2,0.035911,0.040418,0.030546,6.9714
24,0.0001669,1.0003,0.99972,2,0.012996,0.02621,0.04107,3.1826
25,0.00014441,1.0003,0.99981,2,0.022866,0.036768,0.069165,0.88193
26,0.0002027,1.0002,0.99961,3,0.043202,0.049003,0.037357,25.835
27,0.00023493,1.0004,0.99968,1,0.043278,0.040379,0.025928,18.3
28,0.00024829,1.0003,0.99937,2,0.028727,0.031871,0.026562,10.214
29,0.00015227,1.0003,0.99975,2,0.02792,0.041602,0.059122,4.0667
30,0.00021794,1.0002,0.99955,1,0.04441,0.044927,0.026766,0.0
31,0.00013297,1.0002,0.99979,3,0.017818,0.026852,0.031675,0.0
32,0.00021524,1.0004,0.9997,3,0.015118,0.033174,0.055736,9.6882
