,avg abs,sd,max,min,no. pks,sd fma,sd fma 3,no. pt near 0
0,0.0075045,1.0113,0.98849,6,7.4226e-05,0.00019275,0.00013861,0.0
1,0.019473,1.0384,0.97854,4,0.00025707,0.00073358,0.00032611,0.0
2,0.0088538,1.0247,0.9945,5,0.00036187,0.00045741,0.0002677,0.0
3,0.010267,1.0158,0.98515,6,8.4207e-05,0.00019174,0.00014004,6.1
4,0.021782,1.0437,0.97716,4,0.00029659,0.00093738,0.00039598,0.0
5,0.019108,1.0309,0.97395,4,0.00042482,0.00033679,0.00016534,0.0
6,0.020091,1.0326,0.97276,4,0.00023299,0.00041374,0.00022926,0.0
7,0.0095582,1.0265,0.99508,5,0.00046226,0.00030728,0.00015253,0.0
8,0.01205,1.02,0.98625,6,0.00022845,0.00064976,0.00029681,0.0
9,0.0090351,1.0144,0.98595,6,0.00025608,0.00071208,0.00032383,0.0
10,0.012129,1.0336,0.99358,5,0.00055869,0.00032366,0.00022292,0.0
11,0.0087956,1.0277,0.9982,7,0.0007399,0.00040753,0.00026013,0.0
12,0.018385,1.0366,0.98187,3,0.00039583,0.00032311,0.00014892,0.0
13,0.014835,1.0244,0.98238,6,0.00032242,0.0011149,0.00045088,0.0
14,0.017522,1.029,0.97956,6,0.00059291,0.00049634,0.0003129,0.0
15,0.0070154,1.0167,0.99218,6,0.00043907,0.00028921,0.00018513,0.0
16,0.020154,1.0289,0.97115,4,5.9344e-05,0.00015837,0.0001207,0.0
17,0.001854,1.0052,0.99935,7,0.0003516,0.00057374,0.00033254,0.0
18,0.0029267,1.005,0.99452,8,0.00013671,0.00039902,0.00023703,0.0
19,0.00084617,1.0022,0.99912,8,0.00026121,0.00055636,0.00031945,6.6545
20,0.0046571,1.015,0.99759,8,0.00044519,0.0013532,0.00056102,0.0
21,0.016369,1.046,0.9902,6,0.00042031,0.00094339,0.00041728,0.0
22,0.0040119,1.0082,0.99592,7,0.00034399,0.00069367,0.00033795,0.0
23,0.011478,1.02,0.98247,6,0.00035363,0.00032218,0.0002268,5.2286
24,0.0045999,1.011,0.99667,5,0.00041614,0.00044682,0.00027398,0.0
25,0.023787,1.0461,0.97305,4,0.00031932,0.0010404,0.00042735,0.0
26,0.010353,1.0269,0.99404,6,0.00044372,0.001208,0.00050364,0.0
27,0.010706,1.0175,0.98574,6,0.00037981,0.000743,0.00035839,0.0
28,0.010421,1.0169,0.98492,6,0.00012611,0.00026502,0.00016934,6.6545
29,0.0099766,1.0281,0.99451,5,0.00027918,0.00025686,0.00018458,0.0
30,0.017256,1.033,0.98023,4,0.00051964,0.00037094,0.00019627,0.0
31,0.0020658,1.0034,0.99654,8,5.9736e-05,0.00020769,0.00015072,0.0
32,0.0026325,1.0038,0.99618,8,9.5589e-05,5.8763e-05,0.0001037,0.0
33,0.014043,1.0386,0.99265,5,0.00048998,0.00058002,0.00032088,0.0
34,0.0087764,1.0238,0.99331,6,0.00040966,0.00072823,0.00035885,0.0
35,0.0064163,1.0204,0.99824,8,0.00068825,0.00070465,0.0004097,0.0
36,0.0081607,1.0256,0.99835,7,0.0004345,0.00067916,0.00035204,0.0
37,0.0068854,1.0214,0.99885,7,0.00064816,0.00037703,0.00020993,0.0
38,0.024393,1.039,0.96107,4,0.00033366,0.0012049,0.00048262,0.0
39,0.015411,1.0308,0.98495,3,0.00027215,0.00017561,0.00011867,0.0
40,0.0017296,1.0034,0.99742,8,7.9358e-05,0.00023605,0.00015652,0.0
41,0.026053,1.0502,0.97378,3,0.0004585,0.00039422,0.00025857,0.0
42,0.0022114,1.0035,0.9967,8,0.00011316,0.00010815,0.00012537,0.0
43,0.012775,1.0349,0.99303,5,0.00064595,0.00051048,0.00032299,0.0
44,0.0027783,1.004,0.99606,8,6.0868e-05,2.4615e-05,0.00010332,3.1826
45,0.015156,1.0249,0.98128,6,0.00040937,0.0012907,0.00052213,0.0
46,0.011385,1.0181,0.98285,6,0.00012995,0.00049843,0.00024084,2.0333
47,0.019297,1.0393,0.98059,3,0.00042039,0.00028875,0.00016704,0.0
48,0.011355,1.0181,0.98271,6,0.00032235,0.00052717,0.00028141,0.0
49,0.01615,1.0321,0.98289,4,0.00026996,0.00051057,0.00026906,0.0
50,0.021104,1.042,0.97925,3,0.00042157,0.00029025,0.0001546,0.0
51,0.018105,1.0318,0.97692,4,0.00035119,0.00051451,0.00028446,0.0
52,0.0082502,1.0253,0.99863,7,0.00098131,0.00063306,0.00042566,0.0
53,0.0037918,1.0121,0.99804,8,0.00049504,0.0010423,0.0004775,0.0
54,0.0048602,1.0148,0.9991,7,0.00057559,0.00099371,0.00048294,0.0
55,0.019263,1.0318,0.97407,4,0.00022022,0.0008799,0.00036283,0.0
56,0.0028629,1.0079,0.99598,8,0.0003704,0.00093975,0.00042868,0.0
57,0.012473,1.0307,0.98719,6,0.00049486,0.00070451,0.00036572,6.1
58,0.0042617,1.0084,0.99401,8,0.00062161,0.00054573,0.00034654,3.8526
59,0.022207,1.0456,0.97769,4,0.00021175,0.00060793,0.00027993,0.0
60,0.0039812,1.0091,0.9968,6,0.00030476,0.0008894,0.00038397,0.0
61,0.0024405,1.0049,0.99726,7,0.0002327,0.00035872,0.00021511,0.0
62,0.0079206,1.0187,0.99425,6,0.00054668,0.0015984,0.0006427,4.9909
63,0.0065771,1.0148,0.9945,6,0.00051643,0.001533,0.00061795,3.66
64,0.030075,1.0453,0.95718,4,0.0002061,0.00082313,0.00034571,4.3059
65,0.008838,1.0279,0.998,8,0.00049539,0.00061917,0.00034829,0.0
66,0.0093992,1.0296,0.99788,7,0.0009424,0.00068326,0.00044196,5.6308
67,0.0072521,1.0105,0.98953,6,5.8097e-05,9.3871e-05,0.0001032,0.0
68,0.010543,1.0173,0.98499,6,0.00032153,0.0011365,0.00045746,0.0
69,0.0020944,1.0047,0.9972,8,0.00012094,0.00028145,0.00018073,0.0
70,0.0071675,1.022,0.99877,7,0.00082096,0.0006957,0.00043416,0.0
71,0.016404,1.0257,0.97703,4,0.00018943,0.00046454,0.0002388,0.0
72,0.0083528,1.0167,0.98837,6,0.00049532,0.00041922,0.00017897,0.0
73,0.0025528,1.0051,0.99691,7,0.00039248,0.00024664,0.00017531,0.0
74,0.019402,1.0384,0.97872,4,0.0002516,0.00091101,0.00037652,0.0
75,0.019378,1.037,0.97757,4,0.00027246,0.0010478,0.00042089,0.0
76,0.025893,1.049,0.97395,3,0.0003365,0.00033377,0.00021622,0.0
77,0.019579,1.0297,0.97029,4,0.00018539,0.00066786,0.0002958,0.0
