,avg abs,sd,max,min,no. pks,sd fma,sd fma 3,no. pt near 0
0,2.7676e-16,1,1,27,0.032158,0.044699,0.067821,1.2842
1,1.1875e-16,1,1,19,0.012992,0.027992,0.042272,0.0
2,1.413e-16,1,1,45,0.023105,0.046826,0.068417,1.7023
3,1.9174e-16,1,1,6,0.033241,0.039501,0.031243,0.0
4,1.586e-16,1,1,48,0.018268,0.037726,0.072512,8.5558
5,1.9159e-16,1,1,8,0.017884,0.033486,0.052851,81.812
6,2.2472e-16,1,1,39,0.013132,0.032139,0.058981,12.73
7,2.2489e-16,1,1,31,0.042999,0.044814,0.033953,12.73
8,1.0605e-16,1,1,16,0.017941,0.026607,0.058706,1.1619
9,3.2229e-16,1,1,19,0.047872,0.053075,0.03683,25.835
10,1.3322e-16,1,1,29,0.01936,0.029522,0.047585,6.9714
11,1.6315e-16,1,1,37,0.016181,0.030544,0.066453,3.5277
12,9.4197e-17,1,1,31,0.017706,0.034585,0.053102,1.7023
13,9.0756e-17,1,1,31,0.016122,0.03259,0.052481,25.835
14,1.2917e-16,1,1,28,0.020716,0.035348,0.04361,6.9714
15,1.3139e-16,1,1,37,0.010292,0.024439,0.040267,7.7053
16,1.7851e-16,1,1,21,0.012326,0.0296,0.049557,0.0
17,1.0111e-16,1,1,33,0.025333,0.032571,0.036829,15.321
18,2.4116e-16,1,1,17,0.019936,0.040059,0.064139,15.321
19,2.8232e-16,1,1,35,0.037906,0.043132,0.05388,10.214
20,1.4095e-16,1,1,40,0.015565,0.034942,0.063293,1.9784
21,8.1577e-17,1,1,31,0.03262,0.052676,0.06201,0.0
22,2.203e-16,1,1,14,0.029392,0.04578,0.052617,1.7023
23,2.1476e-16,1,1,14,0.040304,0.045662,0.033648,0.0
24,5.116e-16,1,1,24,0.031311,0.048434,0.060943,19.096
25,2.1205e-16,1,1,41,0.020298,0.042898,0.062724,0.0
26,1.5713e-16,1,1,6,0.028257,0.038901,0.044818,10.214
27,2.7603e-16,1,1,23,0.016146,0.038351,0.065259,6.9714
28,1.2538e-16,1,1,24,0.015189,0.022424,0.025163,0.0
29,2.1068e-16,1,1,24,0.014562,0.024971,0.032887,11.87
30,4.6057e-16,1,1,38,0.016868,0.027644,0.051343,6.9714
31,4.4363e-16,1,1,10,0.016826,0.026148,0.035973,4.3059
32,3.4347e-16,1,1,20,0.020547,0.039706,0.05693,44.557
33,1.6143e-16,1,1,10,0.023111,0.044277,0.061478,1.1619
34,1.3979e-16,1,1,20,0.019056,0.032392,0.039818,0.0
35,1.0092e-16,1,1,6,0.017119,0.034625,0.072112,6.8093
36,1.0495e-16,1,1,40,0.031878,0.03785,0.052042,0.0
37,1.4259e-16,1,1,23,0.012798,0.026574,0.038541,1.7023
38,1.567e-16,1,1,20,0.040281,0.053579,0.051205,19.096
39,1.4626e-16,1,1,8,0.027857,0.051707,0.073814,0.0
40,2.2698e-16,1,1,9,0.032885,0.054316,0.071199,6.8093
