,avg abs,sd,max,min,no. pks,sd fma,sd fma 3,no. pt near 0
0,0.26164,0.99922,0.29124,1,0.0034449,0.0092519,0.0050993,11.368
1,0.13226,0.99998,0.62025,2,0.0024686,0.010953,0.0053882,6.2743
2,0.067028,0.99998,0.80981,1,0.0010852,0.0048244,0.0031202,1.7023
3,0.19334,0.91791,0.38582,2,0.0030812,0.0055286,0.0038047,5.8163
4,0.1275,0.99999,0.62938,1,0.0030843,0.012981,0.0073592,5.0483
5,0.15262,0.99876,0.59299,2,0.0018437,0.0055931,0.0035874,1.22
6,0.12415,0.99974,0.6604,2,0.0015758,0.0062832,0.0041048,0.96316
7,0.20795,0.81017,0.22383,2,0.0031678,0.013661,0.0065883,13.856
8,0.1358,0.95013,0.57811,2,0.0017354,0.0068835,0.0033529,1.2767
9,0.067728,0.99553,0.8169,2,0.00083094,0.0022022,0.0015925,1.2559
10,0.30914,0.97991,0.16484,2,0.0044927,0.0065374,0.0046153,23.682
11,0.06145,0.89547,0.71914,2,0.0011444,0.0049327,0.0032766,1.426
12,0.038922,0.84998,0.73646,2,0.0010709,0.0047739,0.0028314,1.5913
13,0.10574,0.99999,0.69368,1,0.0032293,0.0036464,0.0030345,5.6308
14,0.071927,0.99995,0.79856,2,0.0010468,0.0042777,0.0029035,0.37347
15,0.08881,0.99999,0.74212,2,0.0021092,0.0093037,0.0061528,3.66
16,0.082306,0.98542,0.76449,2,0.00096103,0.0042632,0.0022644,1.2621
17,0.25933,0.96798,0.27767,1,0.0051763,0.0036615,0.0033967,9.3973
18,0.18591,0.77921,0.25045,2,0.0031551,0.010896,0.0065123,12.573
19,0.073603,0.69162,0.47671,2,0.0021038,0.0093226,0.0054287,3.6148
20,0.058233,0.98385,0.82572,2,0.00072612,0.0028074,0.0017223,0.61
21,0.12496,0.97132,0.63373,2,0.003106,0.0022327,0.0016472,1.3725
22,0.23442,0.99835,0.37415,2,0.0036246,0.0047281,0.0037725,6.588
23,0.11653,0.99998,0.66675,2,0.002192,0.0063216,0.0044373,1.5913
24,0.07911,0.99229,0.78245,2,0.00088924,0.0039227,0.0018287,1.1861
25,0.088976,0.99675,0.76285,2,0.0010154,0.0035277,0.0018079,1.3774
26,0.17153,0.99465,0.54399,1,0.0022293,0.0044999,0.0029119,3.5277
27,0.054361,0.99985,0.85239,2,0.00066494,0.002602,0.0012913,1.1091
28,0.12662,0.9999,0.64652,2,0.0018216,0.0067171,0.0041269,0.7625
29,0.18077,0.85936,0.35198,2,0.0028607,0.0080736,0.0044925,7.8429
30,0.10804,0.99999,0.68553,2,0.0027254,0.012058,0.0065637,0.0
31,0.14523,0.99916,0.61062,2,0.0016813,0.0070963,0.0034524,2.473
32,0.16842,0.9399,0.47888,2,0.0021771,0.0078233,0.0052999,3.2732
33,0.066492,0.99999,0.80924,2,0.0012245,0.0054006,0.0029698,0.0
34,0.20809,0.73163,0.13829,1,0.0045509,0.0068733,0.0050075,26.765
35,0.093689,0.57306,0.29905,2,0.0028199,0.011327,0.0067939,9.5382
36,0.24701,0.88679,0.20571,2,0.0032414,0.014028,0.0092366,17.043
37,0.11705,0.99987,0.67537,1,0.0015755,0.0070027,0.0043947,0.70385
38,0.25769,0.98954,0.31163,1,0.0028495,0.011865,0.0060589,8.9553
39,0.27244,0.99967,0.24798,2,0.0036831,0.012957,0.0064354,30.5
40,0.16322,0.61275,0.14016,2,0.0075437,0.0057701,0.0037658,27.988
41,0.30737,0.97433,0.16014,2,0.0034404,0.014933,0.010061,21.892
42,0.28869,0.97416,0.20941,1,0.0032297,0.014321,0.007272,17.168
43,0.19943,0.99822,0.46835,2,0.0023274,0.0082195,0.0052483,3.416
44,0.28954,0.94677,0.16874,2,0.0034001,0.014468,0.0087034,21.103
45,0.05726,0.99974,0.84582,2,0.00067348,0.0029459,0.0015559,1.0609
46,0.044284,0.99917,0.88249,1,0.00050193,0.0019246,0.00096753,0.87143
47,0.097035,0.99598,0.74068,2,0.0010725,0.0045458,0.0023806,0.86118
48,0.057217,0.9997,0.84623,2,0.00066624,0.0029257,0.0017597,0.7625
49,0.051666,1.0,0.85009,2,0.0011965,0.0041526,0.0021595,0.61
50,0.10359,0.99998,0.70197,2,0.0019902,0.0088227,0.0041912,4.3059
51,0.063927,0.97588,0.80059,2,0.00082014,0.0031818,0.0018182,0.59512
52,0.12034,0.98935,0.67064,2,0.0013511,0.0058157,0.0034524,2.8154
53,0.09172,0.99959,0.75288,2,0.0010821,0.0046516,0.0024686,0.80735
54,0.06669,0.99999,0.80703,1,0.0016409,0.0034945,0.0026446,0.0
55,0.19444,0.86565,0.32203,2,0.002819,0.010438,0.006335,9.4152
56,0.085151,0.99975,0.7693,2,0.0010975,0.0031849,0.0017313,1.3811
57,0.21585,0.83015,0.22413,2,0.0033169,0.010745,0.00648,15.961
58,0.21837,0.8403,0.22863,2,0.003316,0.010369,0.0071469,13.393
59,0.03879,0.99999,0.88815,1,0.00077895,0.0032459,0.0016291,0.59032
60,0.11762,0.99999,0.65547,2,0.0041862,0.0087723,0.0050594,33.114
61,0.1651,0.6012,0.12292,2,0.0044709,0.0075924,0.005058,33.902
62,0.01687,1.0,0.95081,2,0.00045025,0.0019545,0.00096104,3.05
