,avg abs,sd,max,min,no. pks,sd fma,sd fma 3,no. pt near 0
0,0.0047142,1.0152,0.99901,2,0.0089539,0.18636,0.0094163,0.0
1,0.005401,1.0072,0.98966,3,0.0061904,0.043887,0.0069262,7.8429
2,0.0062065,1.0113,0.99075,4,0.043475,0.062567,0.0074384,1.3071
3,0.0049054,1.0061,0.98863,4,0.0085761,0.13349,0.0080092,4.575
4,0.004097,1.0054,0.99364,5,0.12693,0.064221,0.0081248,9.6882
5,0.0084485,1.0144,0.98631,3,0.031627,0.066172,0.0067091,7.5353
6,0.0078296,1.0132,0.98698,4,0.01328,0.058429,0.0069329,0.0
7,0.0080166,1.0133,0.98764,4,0.0050774,0.043818,0.0076824,0.0
8,0.006612,1.0176,0.99525,4,0.0086273,0.10125,0.0066301,14.973
9,0.0047841,0.9993,0.98527,5,0.018953,0.067464,0.0075331,3.9214
10,0.0040565,0.99846,0.98432,4,0.01567,0.027747,0.0061924,10.294
11,0.0046913,1.0022,0.98748,4,0.015553,0.041016,0.0080343,7.32
12,0.0048284,1.0119,0.997,4,0.008001,0.045933,0.0065266,0.0
13,0.0086777,1.0079,0.98218,2,0.0083355,0.12525,0.0059738,1.6636
14,0.0067469,1.0121,0.99142,2,0.13376,0.094828,0.0075701,0.0
15,0.002599,1.0085,0.99929,4,0.0041945,0.18391,0.0074216,0.0
16,0.0051926,1.0032,0.98862,2,0.10784,0.05623,0.0079201,3.1826
17,0.0035335,1.008,0.9966,4,0.0086896,0.035718,0.0070396,2.2875
18,0.0052087,1.0123,0.99363,4,0.0083618,0.057643,0.0060049,4.9909
19,0.0047225,1.0121,0.99531,4,0.0056607,0.0907,0.0070185,0.0
20,0.0055173,1.0072,0.98969,4,0.0057071,0.053679,0.0082903,0.0
21,0.0043446,1.0072,0.99147,4,0.19548,0.1123,0.007871,0.0
22,0.0044556,1.0104,0.99535,4,0.0081675,0.18934,0.0060666,10.675
23,0.0037322,1.0145,1.0029,4,0.037083,0.14765,0.010751,0.0
24,0.0068213,1.0198,0.99864,4,0.0096249,0.12326,0.0079003,0.0
25,0.0078211,1.0154,0.9909,2,0.0082138,0.12455,0.0074091,0.0
26,0.0040136,1.0064,0.99375,4,0.013148,0.14062,0.008409,0.0
27,0.0074894,1.0172,0.9906,4,0.008429,0.12317,0.0079872,0.0
28,0.0056631,1.0107,0.99296,3,0.0094448,0.10323,0.0054579,12.2
29,0.0082159,1.0153,0.98904,2,0.006354,0.096333,0.0071488,6.6545
30,0.00542,1.0134,0.99578,2,0.0029578,0.037611,0.0083377,1.0765
31,0.0056125,1.0163,0.99915,2,0.012474,0.074455,0.0069042,0.0
32,0.0065665,1.0147,0.99357,2,0.0057766,0.058706,0.0074095,4.3571
33,0.0061084,1.0114,0.99231,4,0.025429,0.043575,0.0067103,1.7429
