,avg abs,sd,max,min,no. pks,sd fma,sd fma 3,no. pt near 0
0,0.010707,1.0199,0.98711,5,0.0035286,0.011447,0.0023807,0.0
1,0.0058119,1.0186,0.99567,8,0.001361,0.0096335,0.0028605,1.22
2,0.0087076,1.022,0.9901,6,0.0024913,0.0094446,0.0020019,0.0
3,0.0040696,1.0088,0.99373,8,0.0016958,0.014075,0.0020666,0.0
4,0.007889,1.0122,0.98598,6,0.0019798,0.0087226,0.0022197,0.0
5,0.01355,1.0369,0.99096,5,0.0023458,0.01039,0.0022331,0.0
6,0.0029675,1.0073,0.996,8,0.0018103,0.010341,0.0027434,5.7188
7,0.003201,1.0118,1.0005,5,0.0033668,0.011191,0.0024814,0.0
8,0.0076152,1.0131,0.98763,6,0.002457,0.013391,0.0027155,0.0
9,0.010013,1.0254,0.99178,6,0.0029276,0.011329,0.0019018,0.0
10,0.0041373,1.0113,0.99677,7,0.001154,0.010899,0.0024443,0.0
11,0.024005,1.0446,0.97447,4,0.0020959,0.01081,0.0026677,0.0
12,0.010678,1.0205,0.98357,6,0.0046695,0.0089389,0.0026357,8.4462
13,0.0085828,1.0137,0.98378,6,0.001574,0.0096761,0.0023814,0.0
14,0.0030027,1.0064,0.99507,7,0.0018412,0.011744,0.0024323,5.2286
15,0.026388,1.0532,0.97299,3,0.0033184,0.01287,0.0019334,0.0
16,0.0094067,1.0304,0.99704,7,0.0016497,0.012703,0.0026013,0.0
17,0.0044952,1.0127,0.9942,8,0.0017586,0.009393,0.0025858,3.05
18,0.014956,1.0398,0.98768,6,0.0011345,0.0094951,0.003636,2.745
19,0.029351,1.0573,0.96734,3,0.0024478,0.0086823,0.0026108,0.0
20,0.0059365,1.0194,0.99999,7,0.0020643,0.0094474,0.0024914,7.625
21,0.0024468,1.0075,0.9972,8,0.0024287,0.010084,0.0022785,0.0
22,0.0037238,1.0087,0.99384,8,0.0029105,0.011158,0.0023842,0.0
23,0.0023749,1.004,0.99646,4,0.004546,0.011421,0.0020388,0.0
24,0.021554,1.0467,0.97959,3,0.0020985,0.014524,0.0018208,0.0
25,0.0070144,1.0117,0.98787,6,0.0016075,0.012975,0.0020625,0.0
26,0.011309,1.0282,0.98795,6,0.0022811,0.013204,0.0019423,4.575
27,0.0025873,1.0045,0.9961,5,0.0018913,0.014206,0.0021537,0.0
28,0.0017695,1.0052,0.99914,7,0.0046581,0.013075,0.0018565,0.0
29,0.018396,1.029,0.9756,4,0.0035156,0.010657,0.0020331,0.0
30,0.021627,1.0329,0.96512,4,0.0016255,0.010062,0.0021312,7.0385
31,0.010831,1.0173,0.98346,6,0.0035949,0.011712,0.0022657,10.98
32,0.0031422,1.0079,0.99575,8,0.0027826,0.013142,0.0026424,6.1
33,0.0073568,1.019,0.99439,5,0.0036103,0.010614,0.0021697,0.0
34,0.012178,1.0168,0.98076,6,0.0034534,0.012919,0.0019693,1.83
35,0.016156,1.0448,0.99038,5,0.0026837,0.012258,0.0025114,1.3071
36,0.011149,1.0179,0.98233,6,0.0032475,0.013522,0.0031926,1.83
37,0.0072852,1.0127,0.9865,6,0.0032655,0.0085167,0.0018941,0.0
38,0.022443,1.0337,0.96721,4,0.0019462,0.014537,0.0022454,0.0
39,0.013022,1.033,0.98929,5,0.0032675,0.014614,0.0031256,0.0
40,0.012299,1.0345,0.99345,5,0.0020702,0.01013,0.0019211,10.98
41,0.013342,1.0371,0.99006,6,0.002866,0.012789,0.0031647,0.0
42,0.013341,1.0389,0.99361,5,0.0025858,0.012426,0.0024288,0.0
43,0.002459,1.0062,0.99821,5,0.0025352,0.0097688,0.0018079,5.2286
