,avg abs,sd,max,min,no. pks,sd fma,sd fma 3,no. pt near 0
0,0.0013601,1.0008,0.99711,3,0.016311,0.030134,0.072155,8.566
1,0.0035998,1.0027,0.99221,2,0.024679,0.034901,0.056621,6.2821
2,0.0019715,1.0036,0.99724,3,0.033463,0.032375,0.043628,51.24
3,0.0014858,1.0027,0.99781,3,0.023889,0.034637,0.057068,2.3362
4,0.0017593,1.0041,0.99857,4,0.011865,0.015252,0.040083,8.086
5,0.0019348,1.0031,0.99683,3,0.01777,0.020771,0.031546,17.283
6,0.0017287,1.0023,0.99665,3,0.022623,0.034858,0.060515,1.4758
7,0.0017725,1.003,0.99724,2,0.02613,0.041465,0.068099,0.0
8,0.0012105,1.0033,0.99909,4,0.014006,0.023576,0.059226,20.914
9,0.00082128,1.0037,1.0008,4,0.022289,0.030352,0.055967,0.0
10,0.0011937,1.0018,0.99756,4,0.018869,0.022092,0.071639,1.8769
11,0.0031355,1.0022,0.99279,4,0.033844,0.046561,0.066491,17.224
12,0.0012066,1.0009,0.99731,2,0.034816,0.041313,0.055243,0.0
13,0.0012266,1.0057,1.0018,4,0.030117,0.032294,0.046173,13.309
14,0.0012369,1.0022,0.99854,2,0.033112,0.030729,0.059001,16.584
15,0.00079595,1.0001,0.99734,4,0.021771,0.033133,0.0687,2.8154
16,0.001825,1.0012,0.99595,3,0.030225,0.027372,0.026417,27.886
17,0.00033944,0.99943,0.99813,4,0.040548,0.039731,0.036913,0.0
18,0.0024734,1.0057,0.99832,3,0.033054,0.038982,0.054952,14.64
19,0.0034301,1.0045,0.99412,2,0.046476,0.034858,0.025979,24.759
20,0.0027006,1.0058,0.9971,2,0.02392,0.031786,0.060538,16.322
21,0.0017088,1.0011,0.99573,3,0.026919,0.031994,0.052142,126.69
22,0.0020377,1.0044,0.99801,3,0.024431,0.034277,0.062972,0.43571
23,0.0013612,1.0019,0.99766,3,0.040027,0.036787,0.033476,13.115
24,0.0031906,1.0041,0.99484,2,0.029277,0.032089,0.042427,20.914
25,0.0011616,1.0011,0.99691,3,0.025147,0.035338,0.06874,0.0
