,avg abs,sd,max,min,no. pks,sd fma,sd fma 3,no. pt near 0
0,0.30673,0.99847,0.16915,1,0.0040455,0.010287,0.00757,54.623
1,0.32686,0.99825,0.12657,2,0.0044761,0.010289,0.0080397,56.933
2,0.15123,0.48516,0.021137,2,0.0040464,0.020988,0.011107,60.209
3,0.30062,0.87258,0.045819,2,0.0047972,0.015012,0.010473,59.943
4,0.28471,0.99966,0.21609,2,0.0061337,0.0047251,0.0048163,54.258
5,0.32326,0.99763,0.13284,1,0.0030586,0.018624,0.0095731,60.129
6,0.30061,0.87419,0.053905,1,0.004102,0.010556,0.0073673,57.879
7,0.20619,0.63385,0.032835,2,0.0040237,0.017387,0.010064,58.369
8,0.34687,0.98981,0.078343,1,0.0042366,0.0096167,0.0073675,57.514
9,0.30377,0.99968,0.16222,2,0.0043754,0.013688,0.007301,53.616
10,0.32965,0.97152,0.098205,2,0.0033337,0.018806,0.010907,55.584
11,0.34853,0.96351,0.041881,1,0.0035978,0.017812,0.0084244,57.063
12,0.23894,0.99935,0.32067,1,0.0038196,0.015329,0.0077652,59.592
13,0.24179,0.72282,0.036781,1,0.004336,0.016922,0.0097202,57.908
14,0.3137,0.90605,0.05216,2,0.0046659,0.017066,0.010351,61.403
15,0.23145,0.99992,0.33979,2,0.0037649,0.010396,0.0068869,73.2
16,0.28939,1.0,0.20061,1,0.0043481,0.015611,0.0083554,52.332
17,0.35134,0.99573,0.077541,1,0.0036666,0.015518,0.010753,61.792
18,0.32369,0.92429,0.060955,2,0.0079358,0.0047058,0.0048574,61.583
19,0.35168,0.99262,0.066207,2,0.0043878,0.019785,0.0083958,60.159
20,0.24968,1.0007,0.29678,2,0.0041725,0.016357,0.0077407,55.732
21,0.28083,1.0001,0.22099,2,0.0032437,0.015939,0.0081299,66.287
22,0.15411,0.49144,0.028853,2,0.0033513,0.016961,0.0089851,58.38
23,0.32854,0.92733,0.049338,2,0.0049479,0.012305,0.0075837,57.95
24,0.32764,0.9375,0.056188,2,0.0034072,0.017616,0.0083703,60.244
25,0.28861,0.99981,0.20548,2,0.0077586,0.0074697,0.0040381,56.505
26,0.31486,0.9989,0.14769,1,0.0055578,0.0052006,0.0055222,56.564
27,0.34973,0.99438,0.072433,2,0.0044672,0.013227,0.0087267,58.604
28,0.21681,0.99991,0.3799,1,0.0044024,0.010888,0.0084111,62.83
29,0.34211,0.99258,0.090091,2,0.0034327,0.015956,0.010872,59.039
30,0.21147,0.99959,0.39335,2,0.0036697,0.019387,0.0084919,63.44
31,0.25786,1.0004,0.27759,2,0.0045159,0.015181,0.010231,55.662
32,0.34223,0.99827,0.08812,2,0.0037203,0.018345,0.010012,54.158
33,0.3329,0.99612,0.11519,2,0.0033585,0.013528,0.0099028,54.68
34,0.34663,0.99608,0.07765,2,0.0037763,0.016721,0.008614,57.416
35,0.33275,0.99804,0.11029,1,0.0036943,0.015261,0.0080063,56.852
36,0.34679,0.99757,0.090324,2,0.0036659,0.014573,0.0092437,59.914
37,0.21989,0.68795,0.058588,2,0.0062738,0.005978,0.006114,59.443
38,0.25943,1.0008,0.27441,2,0.0044551,0.010209,0.0061595,61.813
39,0.32637,0.93081,0.050917,2,0.0046669,0.012281,0.0077783,59.279
40,0.28452,0.86372,0.077753,2,0.0036521,0.016965,0.0079615,60.291
41,0.28414,0.86667,0.082857,2,0.0046125,0.016515,0.010404,59.904
42,0.17774,1.0004,0.48575,1,0.003512,0.010209,0.0070707,53.68
43,0.17671,0.59589,0.076947,2,0.0038787,0.012856,0.0089226,59.358
44,0.31084,0.92896,0.08908,2,0.0067375,0.0037113,0.0045792,58.865
45,0.19065,1.0001,0.44799,2,0.0054157,0.0094935,0.0068051,60.322
46,0.31611,0.99917,0.14945,1,0.0040924,0.017089,0.0083789,59.317
47,0.34521,0.97453,0.062285,1,0.0044286,0.013344,0.0087589,60.756
48,0.3475,0.99262,0.077198,2,0.0041228,0.018882,0.0087928,63.135
49,0.3378,0.99601,0.10225,2,0.0037527,0.016337,0.0091954,57.801
50,0.32398,0.91244,0.038992,1,0.0052852,0.01604,0.0099287,59.78
51,0.25709,0.99976,0.27347,2,0.0050367,0.017083,0.010796,49.728
52,0.28838,0.99959,0.20813,1,0.0040628,0.01381,0.0068942,56.826
53,0.21051,0.64528,0.030187,2,0.0039565,0.017301,0.010608,57.752
54,0.1525,0.99949,0.55542,2,0.0047358,0.017785,0.0082391,76.429
55,0.22258,0.68754,0.054131,2,0.0042284,0.0099016,0.0070432,59.631
56,0.32077,0.99788,0.14224,1,0.0036075,0.010677,0.0067869,51.641
57,0.34611,0.99462,0.082323,2,0.0032645,0.011639,0.0078946,60.346
58,0.15688,1.0013,0.54514,2,0.0043387,0.01857,0.0098875,60.238
59,0.35705,0.99363,0.05717,2,0.0036875,0.013899,0.0075501,61.595
60,0.33983,0.98987,0.097075,2,0.0048152,0.0083002,0.0067565,57.287
61,0.22643,0.69161,0.044517,2,0.0042059,0.01347,0.009197,59.663
62,0.34004,0.94745,0.042645,1,0.0046707,0.016395,0.0080511,62.767
63,0.35722,0.9934,0.053456,1,0.0032321,0.01566,0.0090775,62.089
64,0.22346,1.0002,0.3608,2,0.0035807,0.015238,0.0084479,59.891
65,0.35661,0.98312,0.048015,2,0.0046107,0.017061,0.0083694,60.546
66,0.26351,0.79436,0.058408,2,0.00676,0.0078355,0.0066269,59.442
67,0.29622,0.85863,0.040718,2,0.0040928,0.012806,0.0092788,61.62
68,0.26845,0.82859,0.079751,2,0.0038324,0.016775,0.009249,60.404
69,0.1335,0.49575,0.099141,2,0.0028782,0.015748,0.0074716,52.793
70,0.20061,0.62879,0.042094,2,0.0045088,0.016761,0.0095585,59.178
71,0.34175,0.99693,0.099013,2,0.004473,0.013931,0.0067161,64.448
72,0.2336,0.74354,0.08121,2,0.0041689,0.015342,0.0080868,60.481
73,0.27145,0.84465,0.090761,2,0.0045133,0.018281,0.0095647,59.578
74,0.36111,0.9856,0.041886,2,0.0040413,0.017751,0.011673,56.997
75,0.33086,0.9625,0.082793,2,0.0037425,0.013929,0.0081492,58.289
76,0.35184,0.99404,0.068572,2,0.0047346,0.0096686,0.0057373,59.932
77,0.15308,1.0002,0.555,1,0.0035816,0.017776,0.00799,62.743
78,0.24703,0.78391,0.088103,1,0.0031777,0.015661,0.0079119,60.298
79,0.18812,0.99921,0.45403,1,0.0075119,0.0064577,0.0047897,54.9
80,0.34594,0.95955,0.048248,2,0.0042738,0.014541,0.0081963,58.458
81,0.32235,0.91707,0.050961,2,0.0033908,0.016338,0.0072343,61.626
82,0.17216,0.56091,0.060651,2,0.0073201,0.004931,0.004772,59.24
83,0.21878,0.99998,0.37434,2,0.0036017,0.014736,0.0073655,51.047
84,0.33765,0.93822,0.032213,2,0.0041105,0.016014,0.010787,56.284
85,0.14379,0.99995,0.58036,2,0.0039341,0.015541,0.0093549,133.59
86,0.17687,0.60145,0.076936,2,0.0039925,0.016858,0.011403,59.475
87,0.29529,0.89915,0.092171,2,0.0047053,0.014619,0.0081938,59.032
88,0.14913,0.51265,0.067994,1,0.0034395,0.01586,0.0089662,58.628
89,0.33095,0.95615,0.073301,2,0.0045448,0.016731,0.0099798,60.661
90,0.25645,0.78388,0.062501,1,0.0037706,0.015633,0.009624,59.376
91,0.3438,0.99426,0.0868,2,0.0043859,0.016935,0.011025,60.774
92,0.17675,0.57087,0.056624,2,0.0049407,0.0063708,0.0062185,59.24
93,0.30454,0.90353,0.07329,2,0.0046615,0.016441,0.01013,57.369
94,0.35921,0.99161,0.0469,1,0.0038545,0.018001,0.010102,60.369
95,0.24166,0.99901,0.31649,1,0.0042895,0.01705,0.010038,52.405
96,0.2438,0.76612,0.07785,2,0.0038715,0.013432,0.010507,61.796
97,0.18162,1.001,0.47497,2,0.0040315,0.015122,0.010241,71.536
98,0.34059,0.98585,0.089436,2,0.0038086,0.014103,0.009837,62.181
99,0.26517,0.79679,0.056488,2,0.0053287,0.010605,0.0067532,58.215
100,0.26975,0.80368,0.0538,2,0.0046397,0.0096386,0.0068468,59.373
101,0.34264,0.99512,0.091748,1,0.0057819,0.0087753,0.0059991,58.386
102,0.35347,0.99429,0.062073,1,0.0047343,0.013027,0.0090113,57.95
103,0.17307,0.99961,0.498,1,0.0057523,0.0062805,0.0053447,58.168
104,0.33573,0.93296,0.032521,1,0.0038537,0.01619,0.01071,61.54
105,0.28606,0.99848,0.21089,2,0.0034722,0.010314,0.0072585,63.287
106,0.35178,0.98672,0.061541,1,0.0042871,0.018499,0.0092066,64.05
107,0.33766,0.99059,0.10221,1,0.0045107,0.017315,0.0086583,57.685
108,0.25098,1.0005,0.29091,2,0.0033838,0.017766,0.010872,50.617
109,0.30225,1.0003,0.16408,2,0.0037365,0.019795,0.011948,60.531
110,0.32678,0.99933,0.12968,2,0.0054911,0.011665,0.0066237,57.187
111,0.30137,1.0001,0.17882,2,0.0033716,0.013431,0.0079817,65.406
112,0.15905,0.99984,0.53767,2,0.0035705,0.015372,0.0089788,51.745
113,0.25836,0.78797,0.062795,2,0.0040266,0.017577,0.011601,58.981
114,0.20133,1.0007,0.4228,2,0.0036641,0.017359,0.0084784,65.628
115,0.33896,0.97845,0.083104,1,0.0041756,0.017087,0.011328,60.689
116,0.35521,0.99454,0.06851,1,0.0043818,0.012685,0.0074901,56.643
117,0.31623,0.90682,0.046201,1,0.0038853,0.015748,0.0099248,63.734
118,0.16844,0.56175,0.066774,2,0.0035541,0.015395,0.0077566,60.765
119,0.32637,0.99777,0.11812,2,0.003695,0.017423,0.0082654,62.334
120,0.3594,0.9878,0.056291,1,0.0043368,0.015689,0.0097807,57.852
121,0.30534,0.99956,0.16583,2,0.0053007,0.0071244,0.0057238,57.468
122,0.35185,0.9764,0.060571,2,0.0062899,0.0058598,0.0056296,59.792
123,0.34171,0.98447,0.083751,1,0.0029853,0.015789,0.010933,55.815
124,0.16893,0.99961,0.51043,1,0.0038517,0.014431,0.0098312,67.63
125,0.3418,0.95614,0.056062,1,0.0037562,0.0069925,0.0060331,58.362
126,0.32043,0.99889,0.14161,2,0.0038178,0.017582,0.0080474,56.631
127,0.23968,1.0003,0.31979,2,0.0041215,0.016648,0.011235,55.358
128,0.1181,0.40575,0.042788,2,0.0067862,0.0073342,0.0045858,59.447
129,0.31702,0.92726,0.070586,1,0.0052368,0.0066504,0.0054427,61.0
130,0.24149,0.72543,0.041285,2,0.0046641,0.016657,0.0079933,58.967
131,0.18427,1.0006,0.46781,2,0.0031255,0.016077,0.010687,53.68
132,0.17476,0.99987,0.49305,1,0.0043967,0.010584,0.0075279,47.959
133,0.27002,1.0,0.24925,1,0.0044589,0.017431,0.010025,76.954
134,0.32472,0.99887,0.1272,2,0.0047115,0.013166,0.0077123,54.345
135,0.34711,0.97629,0.060238,1,0.0040644,0.0096372,0.0079121,60.462
136,0.35531,0.99467,0.067746,2,0.0033168,0.0081087,0.0068227,60.192
137,0.18562,1.0004,0.46268,2,0.0054461,0.0086287,0.008314,53.07
138,0.13333,1.0013,0.6103,2,0.0044022,0.008299,0.0055459,57.645
139,0.24453,0.73042,0.0376,2,0.0045891,0.016039,0.0082052,58.56
140,0.26812,0.80324,0.052763,2,0.0036141,0.016741,0.010903,61.229
141,0.23961,0.99991,0.3191,1,0.0038564,0.01606,0.0083869,60.531
142,0.19785,0.6487,0.071062,2,0.00334,0.020072,0.010174,60.756
143,0.32443,0.9262,0.050127,1,0.0048982,0.011182,0.0077733,58.56
144,0.30653,0.88432,0.044199,2,0.0035931,0.018453,0.010936,59.367
145,0.35251,0.97226,0.047001,1,0.0041451,0.015909,0.0077257,60.879
146,0.13602,1.0013,0.60265,2,0.0031257,0.01257,0.0072716,54.9
147,0.14398,0.49391,0.062979,3,0.0037691,0.015035,0.0097445,57.562
148,0.11914,0.45272,0.099746,2,0.0033855,0.0093028,0.006531,54.339
