,avg abs,sd,max,min,no. pks,sd fma,sd fma 3,no. pt near 0
0,0.18977,0.99944,0.47377,2,0.02241,0.013278,0.032823,3.9471
1,0.021439,0.92047,0.8574,2,0.032655,0.024971,0.029169,0.54222
2,0.16807,0.9998,0.51958,2,0.02541,0.017183,0.056788,11.313
3,0.23132,1.0001,0.36932,2,0.037201,0.020638,0.056516,54.029
4,0.14017,0.9996,0.61415,2,0.024241,0.020781,0.048683,3.093
5,0.081495,0.99946,0.76065,2,0.024458,0.02569,0.065907,4.6923
6,0.17677,0.99887,0.5298,2,0.019583,0.01536,0.055786,1.339
7,0.26754,1.0006,0.25824,2,0.0092979,0.014866,0.034037,19.721
8,0.031675,0.9652,0.87512,1,0.037345,0.026014,0.025163,0.23766
9,0.16179,0.93886,0.4952,2,0.016817,0.011959,0.017599,0.54222
10,0.060613,0.9983,0.83867,2,0.019646,0.019044,0.034751,3.3655
11,0.15487,1.0005,0.57034,2,0.039443,0.019778,0.020356,1.8074
12,0.10521,1.0006,0.69418,2,0.026618,0.019577,0.069743,27.848
13,0.22607,0.87278,0.24526,2,0.027804,0.020571,0.030754,18.713
14,0.054239,0.88613,0.72978,2,0.034196,0.02862,0.052302,0.50833
15,0.04993,0.92893,0.78613,2,0.019184,0.015133,0.046494,0.50833
16,0.18216,0.92621,0.42549,2,0.013588,0.010907,0.032147,2.6565
17,0.11068,1.0006,0.6764,2,0.022679,0.016305,0.053274,9.6882
18,0.26155,0.91558,0.20207,2,0.02069,0.015693,0.025675,10.789
19,0.098506,0.81979,0.53632,2,0.017821,0.01408,0.034302,1.1731
20,0.19165,0.87291,0.3377,2,0.023654,0.015113,0.019919,15.706
21,0.25584,0.99812,0.31878,2,0.030801,0.01746,0.042261,24.775
22,0.080349,0.99955,0.77885,1,0.017539,0.014818,0.043814,1.3484
23,0.1752,0.92214,0.43968,2,0.015727,0.010398,0.019937,1.9468
24,0.13996,0.64399,0.23826,2,0.018319,0.014835,0.016352,11.97
25,0.17184,0.92702,0.4541,2,0.024359,0.020065,0.040846,3.8302
26,0.11535,0.99939,0.68957,2,0.024887,0.017935,0.040044,1.2066
27,0.10963,1.0006,0.68763,2,0.028847,0.024439,0.05133,7.7053
28,0.29895,0.99084,0.20547,1,0.028741,0.016733,0.03059,14.182
29,0.10712,0.94181,0.64465,1,0.034,0.027393,0.044664,1.6511
30,0.19208,0.9204,0.39234,2,0.032727,0.030505,0.020291,4.283
31,0.029552,1.0003,0.9143,2,0.028258,0.017169,0.062974,0.93846
32,0.088497,1.0002,0.74613,1,0.018206,0.011684,0.026593,8.6118
33,0.14198,0.802,0.39681,2,0.013233,0.01072,0.023327,2.3462
34,0.15421,0.9999,0.55979,1,0.013994,0.011651,0.036769,1.6828
35,0.21833,0.99238,0.41769,2,0.02791,0.016236,0.030842,18.995
36,0.15524,1.0002,0.56217,2,0.024796,0.017309,0.031114,3.5096
37,0.16377,0.99877,0.56142,2,0.025647,0.021178,0.027331,2.0333
38,0.037327,0.99958,0.89346,2,0.019167,0.018265,0.04411,0.0
39,0.24352,0.99811,0.34344,1,0.042539,0.019575,0.058803,15.928
40,0.11282,0.97191,0.66641,2,0.020132,0.017663,0.029246,0.51915
41,0.17621,0.99915,0.5163,2,0.022908,0.019552,0.053823,3.3507
42,0.016435,0.9997,0.95126,1,0.028622,0.025854,0.065901,0.0
43,0.10059,0.8122,0.52281,2,0.023868,0.021935,0.033115,1.6745
44,0.092445,1.0001,0.74363,2,0.022022,0.019187,0.051906,0.9
45,0.087038,1.0016,0.74596,2,0.037885,0.031683,0.065541,0.244
46,0.061277,1.0002,0.83462,2,0.027728,0.027059,0.045281,0.35192
47,0.13937,1.0006,0.59569,1,0.016108,0.016329,0.048381,3.5419
48,0.10844,0.7945,0.48227,2,0.02241,0.011682,0.028784,0.22317
49,0.18488,0.99877,0.50697,2,0.020265,0.013278,0.040048,3.2105
50,0.23825,0.95044,0.3087,2,0.018987,0.012152,0.030158,3.6085
51,0.191,0.9974,0.49128,2,0.020282,0.013567,0.044712,7.5587
52,0.15448,0.98817,0.58051,2,0.015219,0.012899,0.036417,0.43571
53,0.17539,0.97249,0.50322,2,0.023364,0.012047,0.034274,3.2568
54,0.15522,0.6475,0.19846,2,0.021129,0.011785,0.023515,19.865
55,0.16476,0.99937,0.52845,1,0.037638,0.022602,0.055178,2.8352
56,0.14272,0.86096,0.45785,2,0.01342,0.012859,0.019005,4.5434
57,0.26033,0.8515,0.12784,2,0.016905,0.018584,0.025209,27.988
58,0.25139,0.9641,0.29269,2,0.011123,0.010133,0.030385,4.1521
59,0.22091,0.98593,0.40368,2,0.021945,0.017794,0.043742,19.317
60,0.28163,0.94419,0.18651,2,0.013464,0.020608,0.021513,17.283
61,0.081747,0.99736,0.78238,2,0.025646,0.020311,0.031688,0.48584
62,0.20677,0.99936,0.42101,2,0.0186,0.016056,0.058919,17.902
63,0.082051,0.9996,0.76843,2,0.023638,0.011733,0.043004,5.6308
64,0.084791,0.63051,0.38296,2,0.036789,0.019551,0.02919,16.47
65,0.047081,1.0002,0.86278,2,0.021365,0.01766,0.036642,0.46923
66,0.15341,0.99893,0.59053,2,0.017821,0.015198,0.028981,2.745
67,0.093994,1.0006,0.7261,2,0.018491,0.013372,0.046954,6.6545
68,0.17961,0.99994,0.51445,2,0.026832,0.025656,0.030608,4.636
69,0.075517,0.69854,0.47758,2,0.026886,0.017645,0.031473,1.1772
70,0.12296,0.98604,0.65869,2,0.01357,0.01334,0.026689,1.2969
71,0.097571,0.95207,0.68224,2,0.025788,0.024455,0.040217,2.9878
72,0.085158,1.0006,0.7549,2,0.022403,0.022944,0.065116,2.2875
73,0.16638,0.99956,0.54474,1,0.023423,0.013218,0.035132,1.6789
74,0.29892,0.99673,0.20516,2,0.02544,0.016223,0.033367,6.7595
75,0.19641,0.99988,0.44859,2,0.01508,0.012031,0.036364,2.3766
76,0.13097,0.80455,0.4301,2,0.024781,0.019787,0.021377,1.9391
77,0.091238,1.0006,0.73401,1,0.014201,0.010751,0.053034,0.19468
78,0.2742,0.99473,0.27151,2,0.027408,0.014397,0.019392,22.625
79,0.12459,1.0014,0.64353,2,0.021429,0.0128,0.053765,9.15
80,0.045619,0.98345,0.85826,2,0.029594,0.025007,0.066729,2.8321
81,0.19364,0.9993,0.47974,2,0.019969,0.010344,0.054804,0.38392
82,0.061548,0.9604,0.78823,1,0.017611,0.012459,0.026844,0.52662
83,0.063812,0.99941,0.83097,2,0.025802,0.021065,0.035037,0.732
84,0.043597,0.99969,0.8728,2,0.022307,0.015332,0.043125,0.0
85,0.24151,0.88449,0.2176,2,0.020426,0.016547,0.021171,17.642
86,0.056282,0.76879,0.60399,2,0.015907,0.011715,0.040973,7.7636
87,0.15399,0.82105,0.38337,2,0.013158,0.0094681,0.016254,9.0902
88,0.11236,0.9974,0.70151,2,0.030153,0.021149,0.045831,1.5913
89,0.17465,0.99953,0.52864,2,0.030128,0.022865,0.033916,2.5859
90,0.2559,0.99911,0.3136,2,0.023954,0.015606,0.027476,3.8302
91,0.17308,0.97767,0.51614,1,0.024339,0.021709,0.04546,5.3375
92,0.16592,0.99062,0.55339,2,0.01085,0.010039,0.026819,0.2928
93,0.037357,0.97267,0.86779,2,0.031056,0.029083,0.049328,1.2303
94,0.097712,0.99892,0.73934,2,0.031961,0.024805,0.027831,1.2621
95,0.11146,1.0002,0.67968,2,0.017593,0.01079,0.053177,1.5913
96,0.17947,0.99647,0.52281,2,0.024429,0.017978,0.054085,1.4322
97,0.15016,1.0002,0.56503,1,0.020247,0.020693,0.025336,4.5185
98,0.12221,0.68293,0.32836,2,0.013846,0.011412,0.024733,5.8654
99,0.19609,0.99271,0.47592,2,0.023474,0.017303,0.048934,0.43059
100,0.11612,0.97094,0.65674,2,0.029981,0.023327,0.043204,1.2
101,0.14873,0.75796,0.33093,2,0.022673,0.018409,0.038759,5.1097
102,0.09631,0.85752,0.58175,2,0.01939,0.015742,0.022939,1.3331
103,0.14043,0.99551,0.62642,2,0.0091271,0.0055831,0.024948,8.774
104,0.25423,0.98343,0.31301,2,0.01298,0.0076482,0.027848,2.9048
105,0.142,0.66419,0.25299,2,0.02616,0.021892,0.021873,8.4019
106,0.022836,1.0001,0.93352,2,0.024384,0.023906,0.0558,6.1
107,0.064694,0.99821,0.82766,2,0.032497,0.028382,0.04571,6.2151
108,0.16792,0.78598,0.3073,2,0.018709,0.01573,0.013052,3.3058
109,0.21533,0.99388,0.42764,2,0.023047,0.015872,0.041179,0.32389
