,avg abs,sd,max,min,no. pks,sd fma,sd fma 3,no. pt near 0
0,0.17853,1.4768,1.0011,1,0.0036927,0.0085396,0.0036751,1.0027
1,0.14216,1.4106,1.0003,1,0.002799,0.011371,0.005998,3.4857
2,0.25761,1.6842,1.0073,1,0.0031436,0.0060759,0.0043846,2.0333
3,0.10586,1.3575,1.0633,1,0.0014165,0.0049241,0.0047291,0.732
4,0.18136,1.5183,1.0001,1,0.0040909,0.0074195,0.0055587,2.9791
5,0.13817,1.3666,1.0021,1,0.0032426,0.0065862,0.0039342,3.172
6,0.16752,1.5922,1.1226,1,0.003985,0.0096796,0.0046225,2.102
7,0.067561,1.2324,1.0436,2,0.0018002,0.0037426,0.0025554,2.5835
8,0.19367,1.5401,1.0001,1,0.0044296,0.014253,0.0077298,2.8397
9,0.18915,1.5913,1.0721,1,0.0019117,0.0134,0.0073192,0.95065
10,0.094669,1.253,1.0019,2,0.0029131,0.0040853,0.0028962,1.2407
11,0.049751,1.1416,1.0002,2,0.0015278,0.002115,0.0022955,3.3273
12,0.1213,1.3409,0.99955,1,0.0013055,0.0051739,0.0043361,3.8302
13,0.08653,1.2512,1.0179,1,0.0017257,0.0033423,0.0037159,0.81333
14,0.14191,1.3765,1.0025,1,0.0017307,0.0052244,0.0033756,2.2562
15,0.25294,1.6797,1.0017,1,0.0036225,0.010542,0.0088463,2.2875
16,0.12346,1.3337,1.0073,1,0.0013534,0.0058199,0.0036577,0.82247
17,0.056486,1.1498,1.0011,2,0.0011661,0.0033888,0.002257,1.5913
18,0.10286,1.2744,1.0018,1,0.00096163,0.006589,0.0032848,1.8931
19,0.19464,1.5583,1.0352,1,0.0035805,0.01012,0.0049075,0.54627
20,0.10656,1.284,1.0012,1,0.0014088,0.0056144,0.0037782,3.4985
21,0.094872,1.2749,1.0006,2,0.0020314,0.0081056,0.00366,4.575
22,0.20179,1.5367,1.0055,1,0.0024594,0.01197,0.0048478,1.599
23,0.073607,1.2057,1.0002,2,0.001923,0.0034504,0.0024866,1.7854
24,0.12643,1.3669,0.99969,1,0.0029983,0.013865,0.0098971,3.05
25,0.17283,1.474,1.0004,1,0.0032506,0.0081755,0.0049737,3.0045
26,0.046054,1.1305,0.99911,2,0.00065813,0.004256,0.0023518,2.5241
27,0.10676,1.4082,1.1063,1,0.0020896,0.0047799,0.0045996,2.6352
28,0.13525,1.4217,1.0504,1,0.00083322,0.0074479,0.0053655,2.55
29,0.11923,1.3208,1.0,1,0.0011504,0.0046673,0.0037048,1.1262
30,0.12345,1.3329,1.0076,1,0.0012985,0.0013137,0.0032166,1.1024
31,0.10714,1.372,1.0729,1,0.0020306,0.0061063,0.0037509,1.8454
32,0.11459,1.3238,0.99984,2,0.0012257,0.0080495,0.0040758,3.2846
33,0.19649,1.5229,1.001,1,0.0026231,0.011957,0.0048205,0.83182
34,0.13191,1.4449,1.0783,1,0.0021953,0.0050019,0.0058626,0.68284
35,0.26324,1.7006,1.0015,1,0.0040138,0.0088259,0.0064378,2.403
36,0.12423,1.3298,1.0014,1,0.0015764,0.0059292,0.0042115,1.0609
37,0.071846,1.2317,1.0336,2,0.0014022,0.00322,0.0026237,1.7224
38,0.17183,1.6452,1.1607,1,0.0026631,0.0093883,0.0067044,1.83
39,0.054022,1.1503,0.99917,2,0.0010819,0.0039062,0.003013,7.4556
40,0.23979,1.6398,1.0082,1,0.003383,0.011963,0.0082781,2.5183
41,0.24419,1.6509,1.0024,1,0.0031678,0.011611,0.0072037,2.3324
42,0.035015,1.1095,1.0137,2,0.0014234,0.0055757,0.0016337,1.5574
43,0.15567,1.455,1.0351,1,0.0027026,0.007979,0.0034375,2.5089
44,0.14467,1.4174,0.99989,1,0.0022255,0.011244,0.0071872,2.1279
