,avg abs,sd,max,min,no. pks,sd fma,sd fma 3,no. pt near 0
0,0.22638,0.99996,0.36509,1,0.0058865,0.0041395,0.0038888,17.537
1,0.057576,0.99904,0.84727,2,0.0013372,0.0014948,0.00081125,0.87143
2,0.14685,0.60414,0.17113,2,0.0033548,0.014374,0.009721,20.816
3,0.15102,0.99819,0.59796,2,0.0016896,0.0080125,0.0047653,2.2048
4,0.066886,0.997,0.82103,2,0.00072413,0.0024364,0.0019444,0.82247
5,0.12055,0.89109,0.55129,2,0.0019659,0.008015,0.0038573,3.1371
6,0.11411,0.99083,0.68931,2,0.0012436,0.0046678,0.0025878,1.525
7,0.20187,0.86074,0.29675,2,0.0027621,0.012258,0.0081939,9.5537
8,0.30712,0.98256,0.1732,1,0.0037915,0.01299,0.0065115,21.415
9,0.31048,0.98429,0.16634,2,0.0033349,0.014724,0.007865,21.045
10,0.1145,0.98088,0.67402,2,0.0017298,0.0059728,0.0030432,2.0333
11,0.14204,0.99964,0.61558,1,0.0023933,0.0036237,0.0028106,2.6618
12,0.19178,0.9999,0.45126,2,0.0034701,0.012828,0.0063972,16.423
13,0.073096,1.0,0.78895,2,0.0014681,0.005974,0.0033919,0.61
14,0.083352,0.95069,0.71891,2,0.0013206,0.0057402,0.0026612,1.4911
15,0.10696,0.99983,0.70659,1,0.0013063,0.0050931,0.0026959,0.98036
16,0.097587,0.99928,0.73942,2,0.0012461,0.0032868,0.0018062,0.87143
17,0.098166,1.0004,0.72502,2,0.0016217,0.0026032,0.0022443,1.5686
18,0.10822,0.93933,0.63903,2,0.001156,0.006758,0.0031921,1.5135
19,0.12169,0.99605,0.67566,2,0.0011782,0.0046241,0.0037911,1.7521
20,0.14623,0.9998,0.5905,2,0.0023046,0.0062806,0.0036021,3.05
21,0.086469,0.97027,0.73388,2,0.00092341,0.005037,0.0023733,1.2969
22,0.084352,0.99602,0.77401,2,0.001105,0.0045122,0.0021493,0.0
23,0.071072,0.98868,0.79843,2,0.00052327,0.0029969,0.0025284,0.66545
24,0.23729,0.94533,0.30438,1,0.0053245,0.00385,0.0033084,9.2269
25,0.1736,0.99974,0.51139,2,0.0028431,0.010047,0.0049759,6.1
26,0.20647,0.96057,0.40541,1,0.0021975,0.011017,0.0065886,5.5216
27,0.072881,0.99991,0.79195,2,0.001727,0.0019445,0.0017349,0.46923
28,0.21874,0.99934,0.40445,2,0.0025699,0.012325,0.0073943,7.0839
29,0.11013,0.99948,0.69846,2,0.0014721,0.0060214,0.003679,0.96316
30,0.05648,0.99973,0.84508,2,0.00075624,0.0039992,0.0020082,0.62034
31,0.039921,0.99991,0.88504,2,0.00083132,0.002695,0.0021559,4.0667
32,0.055969,0.8253,0.66248,2,0.0015004,0.0059903,0.0034793,1.4869
33,0.19651,0.99364,0.47744,2,0.0031727,0.0027818,0.0029078,4.329
34,0.1525,0.99948,0.58704,1,0.0020395,0.0050007,0.0030385,0.83182
35,0.080756,0.92541,0.69744,2,0.0012376,0.0051768,0.0033314,1.5913
36,0.15927,0.99987,0.542,2,0.003119,0.013803,0.0075092,11.091
37,0.077576,0.93725,0.71915,2,0.001244,0.0041958,0.0025656,0.95597
38,0.14643,0.99982,0.60141,1,0.002179,0.0080768,0.0046457,1.4524
39,0.32218,0.99629,0.1416,2,0.0035301,0.01596,0.0078956,46.413
40,0.097133,0.76892,0.48754,2,0.0025379,0.0054911,0.004066,3.5192
41,0.2898,0.95964,0.18601,2,0.0032236,0.013269,0.0076235,19.132
42,0.20831,0.96647,0.40864,2,0.0022666,0.010791,0.0060765,5.1368
43,0.075393,1.0,0.79233,2,0.0012474,0.0024125,0.0017526,1.6636
44,0.13149,1.0001,0.61744,2,0.0033889,0.01473,0.0086207,16.836
45,0.12295,0.65901,0.30203,2,0.0027966,0.01192,0.0060484,10.088
46,0.16771,0.9159,0.45205,2,0.0022766,0.0099206,0.0051634,3.5136
47,0.044047,0.99773,0.88154,2,0.00064459,0.0019085,0.0010448,0.7871
48,0.24277,0.80616,0.12425,2,0.0038655,0.012526,0.0067729,35.637
49,0.082655,0.98897,0.76842,2,0.0009285,0.0052917,0.002896,1.3071
50,0.10856,0.77382,0.46038,2,0.0020898,0.0086692,0.0052213,4.575
51,0.23815,0.998,0.36497,2,0.0026035,0.01026,0.0051607,7.6662
52,0.16411,0.97708,0.53906,2,0.0019195,0.007181,0.0039284,1.9784
53,0.18186,0.86432,0.35446,2,0.0040167,0.0035865,0.0037636,7.4261
54,0.14856,0.99987,0.5812,2,0.0023209,0.0097685,0.0066105,5.5326
55,0.055032,0.99988,0.84321,2,0.000774,0.0027209,0.0019605,0.46923
56,0.12219,0.70446,0.35131,2,0.0027963,0.012473,0.0078912,7.5077
57,0.3284,0.99304,0.12783,2,0.0036255,0.016029,0.0083215,40.43
58,0.099208,0.9997,0.71871,1,0.001504,0.0061636,0.0042656,0.46923
59,0.078541,0.9923,0.78379,2,0.00081837,0.0040929,0.0022604,0.69057
60,0.079341,0.99813,0.78926,2,0.00060629,0.0033732,0.0021653,0.85116
61,0.078993,1.0002,0.78227,2,0.0010722,0.0037519,0.0021612,0.64211
62,0.20984,0.99167,0.43945,2,0.0022185,0.0098832,0.0061776,4.27
63,0.20869,0.99958,0.42628,1,0.0027957,0.011555,0.0071642,6.4211
64,0.1456,0.99906,0.61157,2,0.0021604,0.0034086,0.0027901,1.22
65,0.026292,1.0,0.92446,2,0.00046042,0.0030353,0.0011958,0.52286
66,0.1557,0.83778,0.39699,2,0.0023874,0.01111,0.0050208,5.3375
67,0.15701,1.0001,0.54748,2,0.0033377,0.012987,0.0062451,12.397
68,0.093378,0.7522,0.48114,2,0.0022834,0.0086377,0.0043854,3.7538
69,0.1298,1.0001,0.62219,1,0.0031773,0.014431,0.0069343,13.908
70,0.2172,0.99563,0.42346,1,0.0023691,0.010935,0.0048725,5.3824
71,0.026997,0.89416,0.81524,1,0.00057854,0.0033904,0.0020347,1.6944
72,0.10273,0.99717,0.72681,2,0.0013952,0.0048596,0.002939,1.1935
73,0.284,0.96158,0.20415,2,0.0034712,0.010913,0.0057837,16.453
74,0.048035,0.82172,0.6816,2,0.001382,0.0055208,0.0033686,1.4418
75,0.043539,0.99718,0.88225,2,0.00056676,0.0023326,0.0012755,0.89706
76,0.18272,0.99441,0.51436,1,0.0021596,0.0046202,0.0035151,3.05
77,0.29328,0.95312,0.1678,2,0.0029941,0.015236,0.007029,22.792
78,0.098241,1.0001,0.72985,1,0.0020102,0.0026685,0.0018589,0.96316
79,0.11389,0.78905,0.46152,2,0.0022807,0.0089464,0.0059705,5.549
80,0.12773,0.99907,0.65932,2,0.0013617,0.0047951,0.0028324,3.3785
81,0.11038,0.97637,0.67882,2,0.0011688,0.0062824,0.0034592,1.384
82,0.12019,0.99998,0.6562,2,0.0023771,0.0078373,0.0040658,1.4077
83,0.23071,0.94771,0.32458,2,0.0040529,0.0037343,0.0039506,6.71
84,0.25321,0.99963,0.30242,2,0.0037149,0.0095452,0.0063136,19.584
85,0.078225,1.0003,0.77271,2,0.001892,0.0079536,0.0052027,0.0
86,0.11575,0.81158,0.4798,2,0.002034,0.0092135,0.0051577,3.7862
87,0.25223,0.99275,0.32967,2,0.0031994,0.0090345,0.0060056,8.0677
88,0.053623,0.99655,0.85522,2,0.00063462,0.002319,0.0011868,0.71765
89,0.038754,0.99889,0.89695,2,0.00049093,0.0019871,0.0010487,0.7871
90,0.18075,0.9076,0.40749,2,0.0024106,0.011225,0.0070211,5.1896
91,0.11469,0.61217,0.27819,2,0.0030925,0.013288,0.0069547,11.279
92,0.30844,0.99168,0.17992,2,0.0034508,0.013933,0.0072329,19.909
93,0.16896,0.97767,0.5272,2,0.0025297,0.0061886,0.003586,3.3578
94,0.097958,0.97742,0.71275,2,0.00152,0.0010672,0.0016685,0.48584
95,0.05366,0.79256,0.63582,2,0.0013385,0.0065124,0.0032835,1.5622
96,0.21106,0.94298,0.37027,2,0.0022535,0.010964,0.0071111,7.2
97,0.1453,0.79411,0.37868,2,0.0025321,0.0081317,0.0050974,6.4735
98,0.060675,0.95798,0.78828,2,0.00081611,0.002924,0.0020409,0.55038
99,0.12052,0.95791,0.62819,2,0.001415,0.0054098,0.0039417,1.2767
100,0.29511,0.99272,0.21542,1,0.0030288,0.01367,0.0087832,15.657
101,0.23583,0.99988,0.33645,2,0.003794,0.011494,0.0083201,21.35
102,0.064908,0.9837,0.80791,2,0.0011515,0.0020935,0.0015363,1.525
103,0.10248,1.0,0.70625,2,0.0020282,0.0073052,0.0046624,0.48158
104,0.14643,0.80875,0.39093,2,0.0045903,0.0034213,0.0028655,6.3925
105,0.11285,0.99918,0.69662,2,0.0014105,0.0063619,0.0029031,1.2887
106,0.032404,0.99996,0.90753,2,0.00041264,0.00090962,0.0010894,3.1826
107,0.11261,0.47423,0.14427,2,0.0070584,0.0050088,0.0035746,26.396
108,0.23183,0.77409,0.11917,2,0.0036959,0.015842,0.007406,36.342
109,0.044476,0.99817,0.88114,2,0.00061286,0.0022006,0.0012592,0.77053
110,0.24635,0.94308,0.27755,2,0.0050061,0.0043567,0.0036619,12.308
111,0.21418,0.99184,0.42867,2,0.0024536,0.0088552,0.0048595,5.2867
112,0.15612,0.99942,0.5766,2,0.0019367,0.0064178,0.0037696,1.9409
113,0.24808,0.99728,0.33791,2,0.0030522,0.012119,0.0083556,8.235
114,0.24786,0.99919,0.33091,1,0.0030224,0.0098721,0.0061405,12.388
115,0.20036,0.99995,0.43486,2,0.0027697,0.01323,0.0074059,7.9565
116,0.068309,1.0001,0.80174,1,0.0014368,0.0057753,0.0035696,0.0
117,0.05412,0.99994,0.85151,2,0.00071886,0.0040474,0.002068,1.2407
118,0.034181,0.96522,0.86847,2,0.00057891,0.0024294,0.0015404,1.5145
119,0.089796,0.99934,0.75931,2,0.0010427,0.0047362,0.0021351,0.98919
120,0.18304,0.98421,0.49959,2,0.0018054,0.0077394,0.0053972,3.5882
121,0.13965,0.99904,0.62642,2,0.0015621,0.0071594,0.0047653,0.976
122,0.20342,0.99991,0.42018,1,0.0036694,0.0096422,0.0061067,20.177
123,0.26127,0.99699,0.30388,2,0.0034854,0.012798,0.0060852,10.558
124,0.10139,0.8641,0.57461,2,0.0019948,0.0047185,0.0026257,3.6854
125,0.17077,0.93556,0.46722,2,0.0023181,0.0082412,0.0040822,5.5326
126,0.14184,0.56643,0.15046,2,0.0035995,0.015136,0.0081276,24.786
127,0.13805,0.98807,0.62267,1,0.0018808,0.0065463,0.0032665,1.3943
128,0.17181,0.83009,0.34458,2,0.002546,0.012251,0.0069805,7.7872
129,0.28677,0.99868,0.22934,1,0.0031209,0.01472,0.0068668,18.3
130,0.047111,0.99926,0.87393,2,0.00065937,0.0015205,0.00086411,0.976
131,0.11856,0.99717,0.6848,2,0.0016174,0.0066031,0.0035851,1.0398
132,0.10134,0.99974,0.70369,2,0.0028299,0.013234,0.0078275,0.0
133,0.27921,0.99583,0.25895,2,0.0030645,0.010628,0.0059015,12.284
134,0.11953,0.70105,0.35455,2,0.00275,0.0072014,0.0042863,7.3904
135,0.085066,0.99976,0.76138,2,0.0023351,0.0014949,0.00155,0.38125
136,0.10534,0.99995,0.70645,1,0.001591,0.0060964,0.0038479,4.4364
137,0.10445,0.87829,0.58143,2,0.0019491,0.0061244,0.0040771,1.3694
138,0.069466,0.99992,0.79855,2,0.0016291,0.0031044,0.0022704,1.22
139,0.035963,0.89059,0.78602,2,0.00080908,0.0039913,0.0019323,0.46624
140,0.18578,0.98914,0.49939,2,0.0021878,0.0091325,0.0055617,3.477
141,0.17482,0.99458,0.53528,2,0.002365,0.0050641,0.0035114,1.771
142,0.094693,0.93067,0.66562,2,0.0013464,0.0062727,0.004098,1.4693
143,0.18593,0.98794,0.49764,2,0.0024286,0.0056205,0.0032793,3.4088
144,0.031423,1.0,0.91035,2,0.00055829,0.002073,0.0015908,0.48158
145,0.10852,0.64306,0.32719,2,0.0028874,0.011571,0.0069273,7.3882
146,0.21219,0.98408,0.42351,1,0.0027466,0.0098741,0.0047038,6.2794
147,0.04614,0.93341,0.80143,2,0.00071932,0.0032264,0.0017731,0.49796
148,0.054592,0.99962,0.85359,1,0.00095085,0.0025667,0.0015793,0.74189
