,avg abs,sd,max,min,no. pks,sd fma,sd fma 3,no. pt near 0
0,0.026491,1.0778,0.99999,2,0.028543,0.021327,0.05511,31.11
1,0.21833,1.5861,1.011,1,0.037076,0.035598,0.078785,0.74694
2,0.10815,1.4079,1.1025,1,0.014731,0.011826,0.040851,3.477
3,0.049871,1.1403,1.0002,2,0.027135,0.023253,0.029749,43.92
4,0.17421,1.4775,1.0001,1,0.022633,0.019486,0.068274,0.59032
5,0.1532,1.4276,1.0002,1,0.031336,0.016755,0.048566,18.3
6,0.27837,1.7682,1.0291,1,0.035996,0.020403,0.053195,0.5856
7,0.10665,1.3108,0.99997,1,0.044997,0.029592,0.082304,5.6308
8,0.14612,1.3927,1.0077,1,0.03394,0.028549,0.064427,5.0235
9,0.2623,1.7076,1.0158,1,0.050665,0.035714,0.10012,2.1189
10,0.0345,1.181,1.0811,2,0.022758,0.019794,0.051501,8.1333
11,0.22282,1.5968,1.0014,1,0.035688,0.023101,0.073144,2.7575
12,0.20221,1.542,1.0016,1,0.035645,0.022179,0.087627,8.1333
13,0.19453,1.7147,1.1673,1,0.022237,0.019781,0.071869,0.12039
14,0.15673,1.4167,1.0026,1,0.02644,0.019956,0.05731,4.4577
15,0.12952,1.4264,1.0677,1,0.029978,0.027654,0.061438,3.4583
16,0.15772,1.4963,1.0631,1,0.049275,0.036007,0.046191,3.2628
17,0.24314,1.6623,1.0006,1,0.046879,0.028468,0.037556,5.49
18,0.10446,1.2974,0.99972,1,0.035861,0.029033,0.060306,0.0
19,0.13343,1.3539,1.0023,1,0.025205,0.022713,0.038118,6.6545
20,0.063278,1.168,1.0006,2,0.030801,0.02453,0.072855,0.0
21,0.21951,1.6058,1.0004,1,0.055963,0.03762,0.087876,4.6582
22,0.036612,1.1506,1.046,2,0.023192,0.020148,0.028719,2.899
23,0.097729,1.7386,1.4522,1,0.046688,0.027047,0.11581,0.22733
24,0.05762,1.1597,1.0065,2,0.032523,0.027331,0.035342,21.96
25,0.045385,1.1229,1.0004,2,0.025927,0.022038,0.034222,25.835
26,0.12183,1.3353,1.012,1,0.033702,0.032698,0.060774,17.568
27,0.035594,1.1031,1.0,3,0.036139,0.028284,0.076698,0.0
28,0.085397,1.5654,1.3162,1,0.046617,0.036009,0.086776,2.0147
29,0.2235,1.6035,1.0007,1,0.053547,0.042812,0.094441,9.3447
30,0.24791,1.6581,1.004,1,0.034459,0.029017,0.050848,0.74189
31,0.049578,1.2554,1.1119,2,0.038503,0.027047,0.08578,2.678
