,avg abs,sd,max,min,no. pks,sd fma,sd fma 3,no. pt near 0
0,0.12834,0.46978,0.08429,2,0.0037148,0.014779,0.0086066,59.225
1,0.12883,0.4703,0.087299,2,0.0038427,0.013173,0.0067112,59.004
2,0.18781,0.60594,0.058985,2,0.0039308,0.014197,0.0071583,58.419
3,0.31083,0.9987,0.16166,2,0.0036899,0.015381,0.008545,58.178
4,0.34072,0.9741,0.072824,1,0.0037968,0.016661,0.010818,57.34
5,0.19058,0.59236,0.026988,2,0.0040786,0.016615,0.010937,60.799
6,0.13784,0.48211,0.071498,1,0.0038235,0.015156,0.0072715,58.449
7,0.30676,0.87469,0.037496,2,0.0040627,0.015243,0.0099593,58.73
8,0.35434,0.99004,0.058217,1,0.0039841,0.014533,0.0086267,55.49
9,0.31046,0.99948,0.15137,2,0.004065,0.014694,0.0074351,59.716
10,0.31897,0.93601,0.077336,2,0.003771,0.016253,0.01101,60.629
11,0.21151,0.99996,0.39249,2,0.0039812,0.017395,0.010327,87.84
12,0.24143,0.99991,0.31546,2,0.0038649,0.016685,0.0080629,58.024
13,0.32183,0.92288,0.062717,2,0.0090494,0.0078385,0.0042414,58.865
14,0.32598,0.9643,0.097942,1,0.0037104,0.015218,0.0087143,58.227
15,0.17313,0.55294,0.037737,2,0.0040628,0.016274,0.0095516,59.944
16,0.35371,0.99517,0.066497,2,0.0040303,0.014873,0.007988,55.336
17,0.19809,0.61717,0.041183,2,0.0039411,0.016354,0.0075811,58.442
18,0.26564,0.99984,0.25523,1,0.0053107,0.0065044,0.0054343,57.569
19,0.1773,0.99998,0.48622,2,0.0040392,0.01369,0.0089239,51.24
20,0.2534,0.75092,0.033817,2,0.0040501,0.017733,0.0093298,60.091
21,0.28697,0.99978,0.19905,2,0.0040642,0.016379,0.0077399,59.856
22,0.31152,0.99943,0.14617,1,0.0040697,0.014246,0.0095092,61.642
23,0.35093,0.99461,0.069198,2,0.0070915,0.0048373,0.0046745,57.95
24,0.3405,0.96335,0.058726,2,0.0038885,0.015417,0.0080052,58.032
25,0.15753,0.99999,0.54215,2,0.0038214,0.016627,0.011001,61.0
26,0.34167,0.98834,0.090447,1,0.0041459,0.010774,0.0063818,59.819
27,0.31949,0.99889,0.13655,2,0.0041052,0.011737,0.0068047,72.855
28,0.28753,0.87981,0.088892,2,0.0042244,0.0099078,0.0075189,59.014
29,0.29944,0.99959,0.17572,1,0.0056315,0.0059684,0.0051704,57.789
30,0.15334,0.49433,0.027414,2,0.004063,0.018006,0.0086659,59.849
31,0.26803,0.99983,0.24658,1,0.003956,0.017603,0.01176,57.287
32,0.3322,0.97809,0.10154,2,0.0038462,0.01271,0.0089998,58.488
33,0.3478,0.96195,0.042936,1,0.0040676,0.016572,0.008042,61.718
34,0.33425,0.9985,0.10684,1,0.0039611,0.016953,0.0082954,59.206
35,0.34135,0.95647,0.057423,1,0.0058974,0.0061795,0.0055164,58.527
36,0.34166,0.99762,0.10497,1,0.0048467,0.0085461,0.0059546,56.12
37,0.33975,0.99812,0.095696,2,0.0039766,0.017552,0.010863,60.47
38,0.34479,0.95848,0.05087,2,0.0045033,0.010787,0.0071053,57.208
39,0.18915,0.62264,0.072509,2,0.0038082,0.015438,0.0076865,59.836
40,0.28736,0.99967,0.20517,1,0.0038451,0.015722,0.0074718,71.893
41,0.32348,0.99874,0.12683,2,0.0039119,0.014632,0.0072587,59.614
42,0.21584,0.68937,0.072235,2,0.0038973,0.013778,0.0070124,60.253
43,0.20164,0.99997,0.41993,2,0.0038833,0.017306,0.0097444,51.132
44,0.34756,0.96094,0.03642,2,0.0039401,0.017205,0.011633,65.067
45,0.27834,0.81511,0.04056,2,0.0040699,0.016931,0.0086003,58.373
46,0.32699,0.99893,0.13395,2,0.0054902,0.0069363,0.0052533,57.95
47,0.32772,0.99887,0.13798,2,0.004851,0.0096868,0.0065369,73.545
48,0.36205,0.98548,0.038781,1,0.0040482,0.018031,0.011986,56.997
49,0.36092,0.99086,0.047018,2,0.0040724,0.017555,0.010344,57.916
50,0.29925,0.87252,0.057488,2,0.0053472,0.0072583,0.0056786,58.73
