,avg abs,sd,max,min,no. pks,sd fma,sd fma 3,no. pt near 0
0,0.072005,0.70649,0.49602,2,0.017649,0.010555,0.031431,3.397
1,0.19992,0.97677,0.44502,2,0.013295,0.0099089,0.022243,4.921
2,0.30688,0.99506,0.18616,2,0.022422,0.016053,0.03811,19.648
3,0.26548,0.98156,0.28092,2,0.027599,0.022274,0.028631,1.2767
4,0.072118,0.99999,0.79115,2,0.020197,0.015778,0.028331,4.0667
5,0.32149,0.99754,0.14218,1,0.024441,0.017806,0.027861,38.703
6,0.12875,0.99368,0.65464,2,0.028438,0.02267,0.051249,0.95478
7,0.082077,0.99265,0.77524,2,0.021414,0.013679,0.045511,1.1349
8,0.076204,0.69941,0.47707,2,0.018674,0.011789,0.018889,5.4464
9,0.14642,0.99996,0.5825,2,0.018954,0.01798,0.062631,0.0
10,0.10286,0.56227,0.26176,2,0.024063,0.015402,0.017664,9.2602
11,0.095619,0.96292,0.7005,2,0.024003,0.024903,0.053707,1.3157
12,0.10521,0.99576,0.71901,2,0.017571,0.013795,0.037518,0.59032
13,0.15953,0.99998,0.53754,2,0.023642,0.015084,0.047177,25.01
14,0.22452,0.9477,0.34089,1,0.011593,0.011181,0.035464,2.7388
15,0.26153,0.97635,0.28346,1,0.020889,0.019393,0.02582,13.071
16,0.09685,0.57372,0.29084,2,0.028116,0.017671,0.017959,13.753
17,0.10582,1.0,0.68987,2,0.016253,0.0092964,0.027007,0.0
18,0.040914,0.99795,0.89015,2,0.028871,0.027182,0.045854,1.2407
19,0.19414,0.99996,0.44503,1,0.0188,0.013684,0.026103,0.0
20,0.19001,0.91297,0.38908,2,0.027653,0.01772,0.038987,4.5156
21,0.30316,0.99401,0.19515,1,0.008553,0.013125,0.026464,8.9949
22,0.1498,0.9475,0.53786,2,0.0334,0.021873,0.020586,0.51549
23,0.066468,0.99997,0.81239,2,0.030872,0.020366,0.032233,4.6986
24,0.12153,0.95389,0.6207,2,0.03128,0.019332,0.030592,0.51915
25,0.066039,0.99998,0.81235,2,0.032412,0.02537,0.052323,10.31
26,0.082674,0.99999,0.76081,2,0.027235,0.024594,0.043528,8.566
27,0.12468,0.99999,0.63675,2,0.020581,0.016437,0.069097,1.464
28,0.067538,0.99904,0.82082,2,0.032377,0.029807,0.067873,15.015
29,0.31873,0.99433,0.15386,2,0.01366,0.014965,0.026586,26.878
30,0.074502,0.98397,0.78302,2,0.032363,0.031247,0.06238,3.2776
31,0.31992,0.99543,0.15115,2,0.021039,0.013094,0.03016,38.856
32,0.25526,0.9966,0.32064,2,0.015722,0.017008,0.035535,7.4287
33,0.18666,0.99936,0.49561,2,0.017055,0.013392,0.029788,4.7136
34,0.071074,0.99978,0.80771,2,0.027396,0.026018,0.049776,4.9909
35,0.056449,0.99996,0.84194,1,0.027744,0.02076,0.058616,11.303
36,0.082248,0.99999,0.76008,2,0.029536,0.015311,0.064255,18.931
37,0.22894,0.93114,0.30791,1,0.018311,0.014246,0.020192,3.7401
38,0.084678,0.99949,0.77286,2,0.030099,0.016467,0.060583,3.0821
39,0.050739,0.99791,0.86443,2,0.020621,0.020284,0.041731,6.8093
40,0.062085,0.90089,0.72293,2,0.030988,0.023902,0.053314,2.7623
41,0.028987,0.96206,0.87936,2,0.027647,0.026156,0.033237,0.68411
42,0.26777,0.99974,0.25617,2,0.016401,0.017454,0.032892,26.803
43,0.1424,0.99994,0.59778,2,0.032725,0.022068,0.041373,11.065
44,0.078752,0.65978,0.42965,2,0.028921,0.018021,0.027877,3.2485
45,0.10695,0.98153,0.69464,2,0.026942,0.019144,0.056189,4.386
46,0.20462,0.90898,0.3454,2,0.019222,0.01572,0.042388,3.8275
47,0.1686,0.9999,0.52711,2,0.036767,0.023008,0.064569,1.1619
48,0.16921,0.99998,0.51184,1,0.020297,0.016707,0.04403,18.846
49,0.055491,0.99995,0.84562,2,0.026572,0.020955,0.04525,0.22048
50,0.12835,0.97745,0.63303,2,0.021515,0.015004,0.038325,0.59512
51,0.08216,0.9964,0.78005,1,0.030878,0.021107,0.062982,2.1897
52,0.17629,0.83535,0.33795,2,0.012126,0.013151,0.028977,9.5112
53,0.22206,0.99097,0.40605,2,0.012615,0.012599,0.031895,6.1792
54,0.094308,0.99998,0.73065,2,0.031765,0.022123,0.065657,20.177
55,0.079136,0.99999,0.77068,2,0.020563,0.015624,0.040324,19.171
56,0.13052,0.99826,0.65329,1,0.03708,0.02003,0.062621,2.7623
57,0.090632,0.99999,0.73595,2,0.01834,0.014037,0.036683,15.485
58,0.084445,0.83327,0.59002,2,0.024579,0.015839,0.023233,0.78589
59,0.17774,0.96283,0.48376,2,0.024308,0.020597,0.03203,5.1178
60,0.11466,0.99985,0.68435,2,0.012183,0.010215,0.026675,13.883
61,0.050016,0.96435,0.82439,2,0.018707,0.016413,0.036863,1.3243
62,0.072597,0.99934,0.80649,2,0.033971,0.020976,0.069054,6.1
63,0.053042,1.0,0.84539,2,0.025997,0.016851,0.050268,37.907
64,0.19816,0.99991,0.44151,2,0.025742,0.016361,0.051446,7.2731
65,0.14916,0.99998,0.56847,1,0.021642,0.019438,0.041551,0.67778
66,0.03089,0.99998,0.91369,2,0.040011,0.028905,0.025398,1.3556
67,0.088278,0.67801,0.42079,2,0.02512,0.014578,0.019257,1.339
68,0.11175,0.73538,0.41168,2,0.027996,0.017659,0.028401,11.841
69,0.25105,0.99956,0.30982,1,0.020118,0.014592,0.045762,2.1743
70,0.10053,0.99776,0.73295,2,0.014336,0.011249,0.0467,1.2477
71,0.096241,0.8655,0.59051,2,0.024243,0.012281,0.046787,0.89816
72,0.057502,0.99762,0.84623,2,0.022274,0.018019,0.057776,1.6267
73,0.051718,1.0,0.84948,2,0.025627,0.021074,0.0447,16.013
74,0.17352,0.99996,0.50459,2,0.027197,0.028039,0.045475,2.8352
75,0.17601,0.99998,0.49104,1,0.022386,0.018672,0.054561,22.303
76,0.23082,0.95294,0.33131,2,0.02267,0.020051,0.030849,11.01
77,0.26281,0.9985,0.29361,2,0.013627,0.013243,0.022741,5.4222
78,0.20091,0.81658,0.25015,2,0.017188,0.01467,0.022148,17.455
79,0.14907,0.99042,0.59749,2,0.032392,0.024771,0.025748,3.2294
80,0.082981,0.99997,0.76449,1,0.033078,0.021586,0.037189,4.9909
81,0.050955,0.98375,0.84476,2,0.029582,0.024347,0.053966,1.1619
82,0.086558,0.94142,0.69964,2,0.020677,0.014487,0.02717,0.51915
83,0.27107,0.99592,0.27894,1,0.02422,0.015159,0.028946,3.2846
84,0.11718,0.7156,0.37611,2,0.0208,0.014405,0.020629,5.3236
85,0.048884,0.78234,0.63921,2,0.013036,0.012613,0.021643,0.43314
86,0.31414,0.99672,0.16255,2,0.043846,0.022238,0.053822,30.141
87,0.23063,0.99837,0.38418,2,0.019712,0.016243,0.042099,0.0
88,0.15194,0.99825,0.59569,2,0.016187,0.01203,0.046956,2.4079
89,0.045412,0.99306,0.8716,2,0.012987,0.012051,0.024844,3.66
90,0.18615,0.99942,0.49559,1,0.01489,0.01447,0.031641,1.7429
91,0.10744,0.99009,0.70536,2,0.014127,0.010913,0.032244,3.3273
92,0.061319,0.9835,0.81712,2,0.018399,0.01735,0.029217,0.89268
93,0.11571,0.99875,0.69196,2,0.017505,0.012614,0.027231,1.3657
94,0.071227,0.86409,0.65899,2,0.015402,0.010395,0.030709,0.90932
95,0.040759,0.99999,0.88352,2,0.023414,0.022753,0.056341,4.1239
96,0.22441,0.94043,0.33172,2,0.025131,0.023167,0.032064,1.9468
97,0.090599,0.99506,0.75615,2,0.018332,0.0098553,0.036164,1.1972
98,0.12924,0.9848,0.64103,2,0.030047,0.019417,0.04542,1.6636
99,0.10932,0.99302,0.70491,2,0.030208,0.030377,0.041802,11.046
100,0.10858,0.99845,0.71185,2,0.018841,0.017647,0.044332,0.78205
101,0.074518,0.99997,0.78923,2,0.026942,0.023439,0.041449,1.2842
102,0.13767,0.95946,0.58483,2,0.017514,0.015612,0.034076,0.27727
103,0.11226,0.66598,0.33966,2,0.035076,0.017418,0.020829,3.397
104,0.20017,0.97813,0.44621,1,0.016461,0.011231,0.041521,0.0
105,0.21653,0.98168,0.40863,2,0.014955,0.010207,0.01985,0.0
106,0.28433,0.96576,0.20899,2,0.017118,0.011935,0.037876,15.378
107,0.20457,0.99676,0.45766,2,0.022,0.019007,0.046377,47.58
108,0.19683,0.9996,0.46161,2,0.018747,0.019305,0.049687,2.2875
109,0.27682,0.99855,0.25615,1,0.035262,0.019679,0.039322,11.245
110,0.040871,0.99989,0.88882,2,0.023586,0.019182,0.046701,0.95065
111,0.033107,1.0,0.9043,1,0.030586,0.025639,0.032291,13.725
112,0.043372,0.99977,0.88351,2,0.013916,0.013267,0.031995,2.7727
113,0.20616,0.99864,0.44896,2,0.018814,0.014664,0.042662,2.1034
114,0.11224,0.95791,0.65021,2,0.021853,0.016191,0.037062,0.65946
115,0.12888,0.99961,0.65108,1,0.020571,0.016942,0.040825,16.47
116,0.097167,0.8852,0.6089,2,0.018905,0.015213,0.030572,0.49796
117,0.068354,0.99991,0.81188,2,0.028106,0.02951,0.054674,2.5835
118,0.21412,0.99995,0.38947,1,0.018553,0.016876,0.047476,23.713
119,0.10841,0.79694,0.48496,1,0.02736,0.021802,0.037387,10.513
120,0.094079,0.99605,0.74844,2,0.026409,0.014945,0.05304,0.71765
121,0.081614,0.99999,0.7632,1,0.021709,0.018106,0.06289,13.943
122,0.17379,0.84577,0.35616,2,0.033209,0.016886,0.015994,2.5792
123,0.18332,0.99952,0.50142,2,0.017303,0.013936,0.028298,7.9135
124,0.046885,0.85328,0.71696,2,0.011423,0.0077872,0.020211,0.44634
125,0.18493,0.96449,0.46713,2,0.028804,0.020755,0.045551,4.7799
126,0.15146,0.96979,0.5621,2,0.018098,0.013954,0.049218,1.4198
127,0.10098,0.99999,0.70492,2,0.017382,0.015295,0.031878,24.955
128,0.24446,0.99824,0.34734,2,0.029771,0.024264,0.054022,18.544
129,0.15797,0.95551,0.52633,2,0.031396,0.018036,0.047303,16.566
130,0.20824,0.74823,0.15566,2,0.022893,0.015467,0.021696,24.692
131,0.036747,0.90414,0.79752,2,0.021305,0.017463,0.035913,0.46038
132,0.15482,0.98926,0.58078,2,0.029893,0.02419,0.044125,1.3189
133,0.089738,0.98488,0.74433,2,0.019958,0.015171,0.034981,0.56308
134,0.089553,0.93624,0.68554,2,0.014366,0.0097976,0.029253,2.2875
135,0.20929,0.91439,0.33905,2,0.022546,0.01851,0.02027,2.44
136,0.10531,0.99999,0.69153,1,0.016151,0.01602,0.034867,3.8526
137,0.23045,0.98708,0.37993,2,0.018852,0.01241,0.032652,11.841
138,0.11326,0.99999,0.66913,2,0.026201,0.016942,0.059275,1.9677
139,0.12797,0.99999,0.62696,2,0.013642,0.015088,0.035681,8.2034
140,0.097686,0.99968,0.73467,2,0.029409,0.025909,0.057484,2.3766
141,0.14746,0.99992,0.58556,2,0.021822,0.012061,0.035168,3.4857
142,0.048843,0.99999,0.85865,1,0.033048,0.025809,0.035412,1.1437
143,0.17662,0.91694,0.4294,2,0.010825,0.0096922,0.019115,7.5277
144,0.25324,0.96857,0.2944,2,0.01946,0.018981,0.040502,4.4514
145,0.25682,0.99309,0.3171,2,0.013334,0.015297,0.031581,10.147
146,0.061241,1.0,0.82072,2,0.022214,0.015347,0.048423,0.87143
147,0.043486,0.9999,0.88148,2,0.022692,0.017142,0.031887,1.464
148,0.068517,0.99997,0.80577,2,0.029023,0.021184,0.031174,6.1859
