,avg abs,sd,max,min,no. pks,sd fma,sd fma 3,no. pt near 0
0,0.1229,1.3482,1.0,1,0.0019641,0.0086238,0.0056655,3.9568
1,0.078539,1.2089,1.0009,1,0.00088078,0.0038989,0.0018233,1.2407
2,0.025451,1.1817,1.1073,2,0.00077408,0.0026483,0.0013661,0.70385
3,0.13456,1.6843,1.2953,1,0.0029231,0.0095926,0.005227,2.0221
4,0.1874,1.4977,1.0041,1,0.0020644,0.0091002,0.0045638,2.7848
5,0.15417,1.6257,1.1869,1,0.0026578,0.0089828,0.0045723,2.0453
6,0.265,1.7234,1.0222,1,0.0029867,0.011874,0.0075737,1.0609
7,0.10028,1.4139,1.128,1,0.0018348,0.0051475,0.0034981,0.52286
8,0.10685,1.4031,1.1014,1,0.0016413,0.0072337,0.0035176,3.0248
9,0.089831,1.2382,1.0013,1,0.0012464,0.002132,0.0017233,4.3059
10,0.13594,1.3786,1.0168,1,0.0031423,0.0021939,0.0017351,2.9516
11,0.17081,1.4698,1.0002,1,0.0027484,0.0046417,0.0031262,3.5316
12,0.21812,1.7836,1.1711,1,0.0034066,0.010108,0.0054727,1.9317
13,0.1722,1.4593,1.0015,1,0.0019599,0.0079731,0.0047703,0.86118
14,0.29148,1.7877,1.0191,1,0.0037861,0.0079105,0.0056133,2.1115
15,0.034209,1.1613,1.0629,2,0.00065918,0.0029104,0.0014199,0.88193
16,0.25877,1.7566,1.0579,1,0.0036009,0.0077541,0.0047722,2.0467
17,0.027027,1.1078,1.0311,2,0.00044302,0.0019255,0.0012383,1.2407
18,0.17134,1.4799,1.0001,1,0.0028936,0.0059638,0.0039751,1.4077
19,0.14875,1.4173,1.0001,1,0.0021754,0.0096542,0.0065149,1.0925
20,0.16498,1.4693,1.0001,1,0.0027511,0.012181,0.0081018,1.2842
21,0.11416,1.3328,1.0248,1,0.0014409,0.0045209,0.0026518,0.732
22,0.092882,1.2498,1.0005,1,0.0010952,0.004554,0.0030821,4.3761
23,0.10032,1.2898,1.0,1,0.0021035,0.0076671,0.0040646,4.1323
24,0.053566,1.1562,1.0116,2,0.00069235,0.0020116,0.0011873,1.1806
25,0.026467,1.0761,1.0,2,0.00050505,0.0022359,0.0011751,2.3613
26,0.21584,1.5747,1.0024,1,0.0024218,0.01069,0.0062342,2.5859
27,0.096746,1.6992,1.4162,1,0.0029742,0.009847,0.0052751,1.9263
28,0.22449,1.6254,1.0002,1,0.0031124,0.013525,0.007177,2.6143
29,0.24383,1.6515,1.0101,1,0.0026867,0.011344,0.0056419,2.2673
30,0.058619,1.306,1.1363,2,0.0015424,0.0027443,0.0019251,2.7519
31,0.094912,1.2623,1.0102,1,0.0010874,0.0043656,0.0021168,0.95065
32,0.16733,1.4643,1.0002,1,0.0022664,0.0099323,0.0056878,3.1673
33,0.16681,1.7763,1.2969,1,0.0031598,0.014067,0.0069403,1.8769
34,0.11177,1.3241,1.0,1,0.0028598,0.006245,0.0046338,3.66
35,0.10582,1.2955,1.0001,1,0.001526,0.0053792,0.0034869,1.8769
36,0.1089,1.3154,1.0,1,0.0037241,0.003108,0.0030972,1.5574
37,0.19599,1.6476,1.1045,1,0.0026502,0.010952,0.0069147,2.1868
38,0.19083,1.5364,1.0001,1,0.0029446,0.0098061,0.0057918,2.7623
39,0.068557,1.2344,1.0434,2,0.00095604,0.0042306,0.0026311,0.69714
40,0.19934,1.5304,1.0067,1,0.0025188,0.005589,0.00343,2.8299
41,0.11967,1.3558,1.0313,1,0.0014514,0.0062332,0.0040556,3.05
42,0.10622,1.3031,1.0,1,0.0023587,0.0035018,0.0028601,2.2182
43,0.27784,1.774,1.0344,1,0.0052027,0.0040755,0.0038384,2.2064
44,0.069281,1.1978,1.0,2,0.0013605,0.0031297,0.0020886,5.856
45,0.059067,1.1676,1.0095,2,0.00068321,0.0029261,0.0016718,1.2407
46,0.13052,1.36,1.0135,1,0.001481,0.0062312,0.0031597,0.82247
47,0.10224,1.2951,1.0,1,0.0021151,0.0076241,0.0048045,1.525
48,0.26406,1.7668,1.0551,1,0.003126,0.0139,0.0092093,2.0333
49,0.13109,1.3651,1.0162,1,0.0029319,0.0019946,0.0016869,3.1484
50,0.14097,1.4087,1.0,1,0.0036922,0.007423,0.0058295,1.4353
51,0.097578,1.3181,1.0483,1,0.0013005,0.0053543,0.0027205,0.64779
52,0.034032,1.0995,1.0,2,0.00097422,0.003849,0.0020672,6.1
53,0.13966,1.392,1.0191,1,0.0016017,0.0071226,0.0048498,0.69714
54,0.17296,1.4646,1.0089,1,0.0019406,0.0075657,0.0050538,2.5879
55,0.16409,1.7499,1.2789,1,0.0030567,0.013218,0.0077959,1.9508
56,0.15581,1.4288,1.0002,1,0.0033472,0.0025727,0.0024425,2.8895
57,0.2025,1.5596,1.0002,1,0.002715,0.010703,0.0055822,2.9048
58,0.21002,1.5677,1.0139,1,0.0027828,0.0054285,0.003596,0.62034
59,0.10792,1.2894,1.0052,1,0.0011897,0.005287,0.0025102,3.9214
60,0.10236,1.2888,1.0,1,0.0015837,0.006482,0.0041165,2.0333
61,0.054274,1.1785,1.0282,2,0.00072682,0.003191,0.0018313,1.0609
62,0.15307,1.4059,1.0025,1,0.0019166,0.0045114,0.0026887,3.2846
63,0.038754,1.1134,1.0,2,0.0011884,0.0048548,0.003033,8.4462
64,0.22711,1.631,1.0002,1,0.0031273,0.013016,0.0087302,2.8895
65,0.2668,1.719,1.0159,1,0.0031218,0.0097697,0.0053324,2.0333
66,0.12218,1.3291,1.0006,1,0.0014359,0.0063814,0.0038741,3.5946
67,0.27871,1.754,1.0188,1,0.0035323,0.0080602,0.005554,2.2523
68,0.11869,1.3173,1.0047,1,0.0013062,0.0057664,0.0037275,3.2846
69,0.039186,1.2885,1.1737,2,0.0012925,0.0034629,0.0019059,2.8553
70,0.076536,1.2086,1.0062,2,0.00086788,0.0031941,0.0021679,1.1262
71,0.045194,1.3347,1.2024,2,0.0014156,0.0046932,0.0028313,0.52662
72,0.2312,1.7448,1.1068,1,0.0031064,0.011214,0.0059999,1.8716
73,0.073152,1.2119,1.0,1,0.002266,0.0025116,0.0021168,1.7854
74,0.079221,1.2304,1.0168,1,0.00096722,0.0035799,0.0021322,4.2616
75,0.16191,1.4307,1.0019,1,0.0018108,0.0080173,0.0037251,1.0027
76,0.22593,1.6079,1.0126,1,0.0025348,0.0098908,0.0052525,2.2673
77,0.19495,1.56,1.0361,1,0.0022906,0.0098671,0.0056428,2.4
78,0.19778,1.6029,1.0633,1,0.0024549,0.010852,0.0063227,2.1604
79,0.053815,1.1654,1.0184,2,0.00067635,0.0029918,0.0017683,1.1262
80,0.23027,1.7567,1.1191,1,0.0030859,0.013288,0.0063046,2.0333
81,0.037431,1.1199,1.0167,2,0.00051106,0.0016087,0.00090405,1.3811
